seed,week,time,true_rt,value,.lower,.upper,.width,.point,.interval
42,5,115,2.10885,1.8539969797715643,1.5362036352602677,2.2625560611576665,0.95,median,qi
42,5,116,2.098425,1.8539969797715643,1.5362036352602677,2.2625560611576665,0.95,median,qi
42,5,117,2.086925,1.8539969797715643,1.5362036352602677,2.2625560611576665,0.95,median,qi
42,5,118,2.075,1.8539969797715643,1.5362036352602677,2.2625560611576665,0.95,median,qi
42,5,119,2.06095,1.8539969797715643,1.5362036352602677,2.2625560611576665,0.95,median,qi
42,6,120,2.046675,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,121,2.03085,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,122,2.0138,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,123,1.99545,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,124,1.97515,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,125,1.954975,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,6,126,1.9332,1.7871284899275426,1.5299560160816308,2.136265273962993,0.95,median,qi
42,7,127,1.909675,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,128,1.88545,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,129,1.858825,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,130,1.83045,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,131,1.8007,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,132,1.7702,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,7,133,1.738475,1.6415531149520826,1.3858679655198591,1.9631797010739305,0.95,median,qi
42,8,134,1.70625,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,135,1.670475,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,136,1.63335,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,137,1.597425,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,138,1.5591,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,139,1.516275,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,8,140,1.475325,1.4684389875199222,1.2648982241777604,1.7239716396021556,0.95,median,qi
42,9,141,1.435525,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,142,1.39285,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,143,1.351,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,144,1.308225,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,145,1.26545,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,146,1.223925,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,9,147,1.1815,1.2485939706488596,1.0759013272645352,1.4655382940913644,0.95,median,qi
42,10,148,1.141325,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,149,1.09935,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,150,1.057975,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,151,1.019125,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,152,0.979575,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,153,0.942925,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,10,154,0.908125,1.0109813518790904,0.8614349565100312,1.172175147553807,0.95,median,qi
42,11,155,0.8724,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,156,0.838775,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,157,0.807125,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,158,0.7759,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,159,0.7468,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,160,0.71885,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,11,161,0.6934,0.7684836185065145,0.6474332416512273,0.8886984200181347,0.95,median,qi
42,12,162,0.6688,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,163,0.64625,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,164,0.622975,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,165,0.603125,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,166,0.585625,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,167,0.567875,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,12,168,0.55045,0.6263543708506327,0.5154656130567774,0.7307796192829349,0.95,median,qi
42,13,169,0.534775,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,170,0.5193,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,171,0.5058,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,172,0.4926,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,173,0.48155,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,174,0.4706,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,13,175,0.461075,0.5431444061664039,0.4288250166649363,0.6562688030088163,0.95,median,qi
42,14,176,0.450975,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,177,0.44265,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,178,0.4347,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,179,0.4271,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,180,0.419975,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,181,0.412825,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,14,182,0.40695,0.4770771234282015,0.3676138308239309,0.5800268031018826,0.95,median,qi
42,15,183,0.401075,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,184,0.395325,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,185,0.390875,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,186,0.3861,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,187,0.382175,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,188,0.37775,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,15,189,0.374475,0.4376643392596098,0.3246829796990381,0.5486018957984194,0.95,median,qi
42,16,190,0.371125,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,191,0.368125,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,192,0.365475,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,193,0.362475,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,194,0.36005,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,195,0.3574,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,16,196,0.35515,0.4247158896744728,0.30359856328434087,0.54321062685547,0.95,median,qi
42,17,197,0.35315,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,198,0.3514,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,199,0.349175,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,200,0.34765,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,201,0.3461,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,202,0.344425,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,17,203,0.343075,0.41970816573007574,0.2966706381365986,0.5436441444317016,0.95,median,qi
42,18,204,0.34195,0.4169998971354615,0.27239369407855135,0.5998701761456022,0.95,median,qi
42,18,205,0.341075,0.4169998971354615,0.27239369407855135,0.5998701761456022,0.95,median,qi
42,18,206,0.340175,0.4169998971354615,0.27239369407855135,0.5998701761456022,0.95,median,qi
42,18,207,0.339125,0.4169998971354615,0.27239369407855135,0.5998701761456022,0.95,median,qi
42,18,208,0.33835,0.4169998971354615,0.27239369407855135,0.5998701761456022,0.95,median,qi
