iteration,chain,rt_params_non_centered[1],rt_params_non_centered[2],rt_params_non_centered[3],rt_params_non_centered[4],rt_params_non_centered[5],rt_params_non_centered[6],rt_params_non_centered[7],rt_params_non_centered[8],rt_params_non_centered[9],rt_params_non_centered[10],rt_params_non_centered[11],rt_params_non_centered[12],rt_params_non_centered[13],rt_params_non_centered[14],rt_params_non_centered[15],rt_params_non_centered[16],rt_params_non_centered[17],rt_params_non_centered[18],rt_params_non_centered[19],rt_params_non_centered[20],rt_params_non_centered[21],rt_params_non_centered[22],rt_params_non_centered[23],rt_params_non_centered[24],rt_params_non_centered[25],rt_params_non_centered[26],rt_params_non_centered[27],rt_params_non_centered[28],rt_params_non_centered[29],rt_params_non_centered[30],rt_params_non_centered[31],rt_params_non_centered[32],rt_params_non_centered[33],rt_params_non_centered[34],rt_params_non_centered[35],I_init_non_centered,R1_init_non_centered,E_init_non_centered,gamma_non_centered,nu_non_centered,eta_non_centered,rho_gene_non_centered,tau_non_centered,lambda_non_centered,df,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
11,1,4.493873202295197,-0.24733279475869366,0.19916637532016387,-0.9028292228577441,0.35737718929657275,-2.221298328861807,-1.546547777007011,0.15447502609132924,-0.3359977297151553,0.07275825488479683,0.11349862186124031,1.0591145982140928,0.35022343698961794,-1.0257427698678718,0.971301852623407,-1.8566600418168318,-0.10916804178629368,0.21889012483413822,0.7803384983135422,1.184279195152038,0.3715870782910971,1.0357202144426092,2.1533302053197545,1.1908337247567218,-0.3531018108703242,-1.4239094042827747,-1.4559865119498012,-1.709886717600404,-2.5461176298510217,-0.4338091168254718,-0.516260689596929,-0.7838113183012023,1.114481243833184,1.2134911714002363,0.6359350796081554,-1.4103857840185774,-0.6153242883327451,0.22228492621758802,-0.5443831830352243,1.7887629397174478,1.6542597380596236,-3.8791914531912326,-0.8457967523868962,0.022335379913886594,2.219933610864845,-354.5399550009956,1023.0,1.0,0.9694024341647625,-354.5399550009956,372.82440385007084,-0.5938367648043936,-1.8594853746211015,10.0,0.0,0.003663814384644591,0.003663814384644591
12,1,4.407600212105481,0.06429648986056653,0.03663862470794473,-0.6880182841572362,0.2638562154746882,-2.4989552597306215,-1.5378374045214835,0.16720812536749274,-0.3032253069277949,0.10875465754857142,0.17187761629789497,0.9762575554337612,0.45441700543600827,-1.2436336169717546,1.1142801421250519,-1.8655923436193482,-0.16373466680515977,-0.03903290944147998,0.4813061424888856,1.9204040719520676,0.34824701407098047,1.0209462338791664,2.042540937713818,1.056040484913547,-0.1276164249087092,-1.452608963807287,-1.33150003318195,-1.829273801261949,-2.4977613506292267,-0.37599740342583304,-0.15251024314648787,-0.591138363486903,1.537756037310941,0.988583238853346,0.32954470646202766,-1.7563876386806772,-0.7023776844401124,-0.04830660921794752,-0.6545741989527825,1.5617766917455984,1.6868816998411433,-3.7732534612179753,-0.7699740449233607,-0.045662476760836214,3.2309573676934904,-357.08226045147467,1023.0,1.0,0.9030771379588206,-357.08226045147467,374.3469024333334,-0.15693840984869212,-0.8340032026947028,10.0,0.0,0.003663814384644591,0.003663814384644591
13,1,3.6362847273396444,-0.5649293011900846,0.6222683046079367,-0.06968117907309922,-2.457541178772195,-1.7524623120937886,-0.05693659275765154,0.05611407742051584,-0.44551066297026004,-0.3027739050816359,-0.4939541168332191,-0.5732452793461319,0.1151831229933356,1.2309893935780507,-1.3986225363902198,1.990220636404845,0.4259253951398206,-0.6988873867258546,-0.2840196265531333,-0.23894957159896127,0.8560380981393187,3.048549232557351,1.3755163520076263,2.3435305926750605,-1.5816894973339075,-0.4684615129123294,-2.352729352008473,-2.8440453818694102,-1.5555266820267317,-1.58705961746804,-0.27326965714022605,1.8299575191107222,0.38076048594439543,-1.5094856769588645,0.31230509921457117,1.532421120444283,0.25905836121875775,0.47594012846375755,1.6009382539570043,1.7015480250785744,-1.628991008168198,-3.900597169580748,-0.7441276019365213,0.9871414501323134,2.7717130539556636,-354.79889129948185,1023.0,1.0,0.9390695534870391,-354.79889129948185,379.5435718491549,-0.216665963773778,-0.498117723927578,10.0,0.0,0.003663814384644591,0.003663814384644591
14,1,4.591107359960027,-0.13199417798020524,-0.453330284935208,-0.27653796377384304,0.3477821858723764,-1.9040239253921953,-2.0717646755539287,0.891193491761436,0.25176479108478916,-0.0575851693979124,-0.7552602953974903,0.938643213561523,0.16858425386585732,-1.1190278861903769,1.217676605220993,-1.872704086402883,-0.7363358304417364,0.842526795806463,-0.14420858132684072,1.7360265710550131,1.4514367230977716,-0.002987134569548258,2.964936976147572,0.4532633988663982,0.009977877340523187,-1.7824867555310946,-1.168871762995504,-2.191850576321435,-2.225844180719105,-0.21819239786531164,0.662636344208022,-0.8077904370341937,0.7592565191970102,0.9217614627054019,-0.7377011269287478,-0.7117872365411867,0.21923795894396925,0.39669710796035146,-1.7929730105433,1.7919493363985606,1.1802187806142266,-3.8442178005771006,-0.600899291060691,-0.48066552703900567,3.6577318693297824,-358.5189646636129,1023.0,1.0,0.9866447490843587,-358.5189646636129,380.1101040239672,0.03787609886200016,0.05380510857156651,10.0,0.0,0.003663814384644591,0.003663814384644591
15,1,3.60681147585251,-1.0390556217549405,0.04620651846534568,0.6635507411445958,-2.1702487403261985,-2.0772985553674888,0.2919103588529627,0.037547047201219735,-1.0185516106288932,0.7233727072025343,-0.5195809186545313,-0.4682176103939707,0.255294646400985,-0.4964437601515077,-0.005759995250817594,0.7668392713035698,-1.3104971194637238,1.771036878681911,-0.5433831657826323,1.1034219630282276,0.41871001459703167,1.804969770564053,1.8553052943142214,2.6079034746425567,-2.3979314425012808,0.4363439966279268,-2.751470489124061,-2.2567057712226837,-1.6665930809880787,-1.8249284349505563,-0.6066762030016181,0.14746861163145622,2.4718542317976184,-1.8424855744984794,-0.22523468741207842,0.9088537945193432,-0.15372270857324102,2.056706455627773,2.6208039087245534,1.420298135268757,-2.1398372822206255,-3.838849432897033,-0.7319600576655216,0.8747569282227412,3.9182342641559544,-363.3171263584679,1023.0,1.0,0.6588128897008203,-363.3171263584679,390.4977335110209,0.6023507553877039,1.2216006924493286,10.0,0.0,0.003663814384644591,0.003663814384644591
16,1,4.823501444090013,-0.4356850537274107,0.19059406076334717,0.35288708932036644,-2.5982305450044465,-0.4770152412023407,0.3335465113789919,-0.7054018018170749,-0.5819116911333472,0.4980900526881041,-0.7339796447564729,0.5703483475998672,-1.264239126945132,0.5126407028636418,0.6094846703721097,0.8588901374342612,-1.3662784434359574,-0.16357075834728182,1.2697902296606003,0.7227467769662673,-1.3918563703533553,2.020094473744665,3.1355946972424777,0.6258643915572611,-1.4593410773009046,-0.8468348535607962,-0.890383808721469,-1.5001573695871644,-2.27571664848276,-1.392780779299103,0.2811137895512112,1.34145703173842,-0.7661435209882249,-0.41262284256001386,-0.35768825566664286,0.6046845349377145,-0.09968515284229841,-0.012225475439498503,-1.9501819335407689,1.8449365465212808,0.8613972489761726,-4.190912390917201,-0.7447842097631239,-0.8980846974101501,2.7609308309844915,-361.1302761833913,1023.0,1.0,0.9811442164839013,-361.1302761833913,394.6094899230344,-0.8219232102896967,-1.0132125648470378,10.0,0.0,0.003663814384644591,0.003663814384644591
17,1,3.708859670323565,-1.1446320232999527,0.8799670380255018,-1.284135696566405,-0.4592187614382109,-1.8012490359384556,-1.3488130159322493,0.4197152416363831,0.028456554217984195,0.18535141884210374,-0.3034694448063524,-0.5293634988710346,-0.19244363431077288,0.5085995743076714,0.2271915285840963,-1.019047468740036,-0.5488646166910817,1.15772396829598,-0.09521633185185097,0.8466501813293604,2.0677743575609147,1.0995172652907867,0.10463528887860253,2.957751111126308,-0.9388187114791504,-0.648350642983417,-0.9839097512913276,-3.548417096378761,-1.7132411693966454,-1.716231687934869,-0.406586481126649,-0.7744558534135888,2.23372163271154,-0.7511290577136246,0.2689501235956147,-0.09096874273297292,-0.6433206511699735,1.941656381112867,-1.077197327800269,2.401726428384683,-0.002762163122017816,-3.7868571741337975,-0.6591620913361668,-0.21795850244889275,3.9343688678852686,-355.57067556831277,1023.0,1.0,0.9278609739760293,-355.57067556831277,380.2466644891964,0.12172443957859969,0.37322703533817503,10.0,0.0,0.003663814384644591,0.003663814384644591
18,1,4.271793571557803,-0.7183183389347846,0.6553904168359483,-0.04604567406896938,-1.7500612430327298,-2.4021125003049137,-0.1861787672099983,-0.3590161048636708,1.2279166188689399,-1.607776196394336,-0.1286931925118805,0.2552888423438319,1.746807124765782,-0.2636479044970439,0.3596420905714749,-1.2837639320958893,-0.8272549434713984,0.6380093988102733,0.29588804715552575,-0.37087483820327705,2.5076810450066938,0.5876337623645126,1.6383028398068025,1.8213248547901144,-1.2726899433083838,-0.8669973345204995,-0.656059159137261,-2.984056638459744,-1.2868287342602234,-1.7870435186172404,0.6948711887439627,1.227614272900952,0.09137391011733735,-1.3478379572187245,-2.3774697603724584,1.1638402250011974,-0.23823592781095757,1.7239019855093314,0.22044210389836325,2.2441462382298836,-2.02418305267694,-3.959784133546748,-0.6111041365810066,0.7044989951518725,5.098268397141309,-359.15155868697207,1023.0,1.0,0.9549010631036451,-359.15155868697207,378.71672157536756,0.03778172478519082,-0.4114354055420222,10.0,0.0,0.003663814384644591,0.003663814384644591
19,1,4.033250669382534,-0.7278264352180637,-0.39067464238153327,0.33793458078281474,-1.3052908329761097,-2.8602502075689156,0.5641833094713624,0.21515396179956853,0.8986137435448774,-0.8697390837635223,-0.9850221306507077,0.1875095450204078,0.7881005477512555,-0.3868120195557584,0.06783016432298174,-1.477687085820159,1.0754478840687671,1.4008683273264604,-0.45208438205746143,-0.9575471593712774,2.083031670615574,1.9153481451021817,0.7558233804570028,1.2426525747509352,-1.3375947219975202,0.3399813194049998,-1.002884420376473,-2.0052041549201,-2.2910353336617706,-0.10659250951878493,-1.1877708618716052,0.23280150122292398,0.05100374318760694,-1.8509763526188636,0.07545949244683355,0.08414576530777473,0.9001387549691456,-0.08155248390608007,0.266171265017208,2.709686760352704,-1.3840275646580107,-3.6885648719711397,-0.71663969137199,-0.07137968386194142,2.7950579425561566,-360.6672835918591,1023.0,1.0,0.4833284460057673,-360.6672835918591,385.99574625715337,0.8263023223996697,2.1118317395830104,10.0,0.0,0.003663814384644591,0.003663814384644591
20,1,4.5830089699491205,0.26906860414154626,0.1339963218798104,0.4280478601584886,-1.4640536381925935,-3.1827182094913216,-0.06134737297224509,0.9713604011539525,-0.03260390274198702,-2.1282679680394847,-1.2101484890363994,2.312823954177404,0.639148488097807,-0.17181884695205704,-0.8227558448280534,0.15853313505370822,1.441711523555114,0.5497540629051263,-1.9746984616689063,0.33165700519680036,1.4437106233238364,2.103724204674233,1.4846556573477432,1.021976091917567,-1.0746797812341242,-0.8006479878144063,-1.0552491687624557,-2.11659851613588,-3.044501231104145,-0.0980661396714607,0.16110506510915193,1.6420554219276693,0.5629720921256346,-2.2589651347085398,0.34001057950872626,0.6293083819872124,1.4942861800426217,-0.8548095383375112,0.3379078728422811,2.1710698507433492,-0.8993658955230667,-3.993711715902964,-0.6181845808815262,-0.3548306253110511,4.783358380851203,-361.1673846170989,1023.0,1.0,0.9624920665358072,-361.1673846170989,382.6241845851452,-0.9969223889063414,-1.5107747060304746,10.0,0.0,0.003663814384644591,0.003663814384644591
