seed,min_rhat,max_rhat,min_ess_bulk,max_ess_bulk,min_ess_tail,max_ess_tail
1,0.9969826917311756,1.0128050364089902,856.5986555286403,1540.9268864543026,469.04484734879105,1038.7059983480344
10,0.9974042796941373,1.0186597814493186,976.320915132858,2039.8207150678656,516.7673347679385,1087.0997385287187
100,0.9982465555727468,1.0162188446241922,831.0297508006604,1669.5402923886872,436.7327856309709,1105.8142104521337
11,0.9979863175372186,1.0222725021359012,921.428941972324,1846.8627083104916,468.41377889490815,1071.54413818302
12,0.9971878055153884,1.010594409932701,654.147643665373,1339.2780084408068,477.8083494095947,1001.9044609374848
13,0.9968471042819486,1.0155689136756267,883.9342108621614,1375.907194376501,417.9544328446795,1070.8578932455262
14,0.9972730999855786,1.0204252751075948,988.4364468188518,2316.0361183932405,573.26536289756325,1083.975242724674
15,0.9972256906477948,1.0134414663038682,607.1139478691447,1617.954632686933,470.1268824271982,1034.279543672255
16,0.9976257148424308,1.0102020929537208,995.4936689439132,1958.5980976447988,539.1961125501524,1085.4852398288497
17,0.9977834153109002,1.017446763602395,837.9886670073414,1693.5822749141496,413.8219275806669,1136.5140504184728
18,0.9973508196164376,1.0134194426065637,607.8297532577966,2067.876478277716,389.0524940175855,1080.7304210755356
19,0.9970966976960988,1.0178210829933203,842.598575169625,1616.8829501061691,437.0153813450205,1083.4191835851698
2,0.997498415043051,1.0178697278839748,669.540663622259,1845.691363613562,422.50000602243546,1071.306845224118
20,0.9975199316259532,1.009339956134654,836.908349337237,1601.2819770200208,584.1760178427559,1103.8509117767644
21,0.997409757562896,1.0196287063886016,956.9675977106128,1873.7786152596148,397.56172598060795,1130.2112706470175
22,0.9971365892902534,1.0125613175020018,913.9174391359207,2053.966672607419,557.178023942981,1082.087512836285
23,0.9974805248887384,1.0129337413840491,571.5451560898474,1690.5490635349,400.0415658975171,1057.1017586366231
24,0.9975727310791616,1.0207045026134176,948.7609175393972,1776.4305852373825,525.0086558397121,1084.9592720090077
25,0.9978231512208074,1.0260789434096609,961.084095853443,2015.5341678617751,376.4594110103593,1081.746693889037
