date,time,true_rt,median_R_mean,median_R_highHPD,median_R_lowHPD,seed
2022-01-14,83,0.9052186849586088,0.7010969537984953,1.347919350895168,0.054274556701822796,1
2022-01-15,84,0.9321939991440203,0.6165297393723801,1.4465643974238058,0,1
2022-01-16,85,0.959875719118928,0.5973645276272501,1.8252912364104785,0,1
2022-01-17,86,0.9886676224761238,0.6453319128779014,2.4132423269220737,0,1
2022-01-18,87,1.018231337585944,0.7770602897337354,3.103698441645632,0,1
2022-01-19,88,1.0484664188111288,1.0202951621928043,4.0160598838306045,0,1
2022-01-20,89,1.0796107773780943,1.4154853930003315,5.286208513932169,0,1
2022-01-21,90,1.1115543442429814,2.01407345589723,6.49356452534591,0,1
2022-01-22,91,1.1444808741738868,2.80863351102325,7.147944960955265,0,1
2022-01-23,92,1.178302082704768,3.625504112511444,7.49227830354574,0,1
2022-01-24,93,1.2129709449792458,4.238550836049707,8.030661886977665,0.44643978512174787,1
2022-01-25,94,1.248785606550632,4.481956417544003,8.738725022535917,0.22518781255208964,1
2022-01-26,95,1.2855838055322593,4.339255176632055,8.608530815751443,0.06997953751266817,1
2022-01-27,96,1.323405,3.9328731331847804,7.627869813517968,0.23787645285159265,1
2022-01-28,97,1.36238373294914,3.3778059337484407,6.272158206916815,0.48345366058006567,1
2022-01-29,98,1.4023497674370389,2.7662568642366563,5.002295915208932,0.5302178132643807,1
2022-01-30,99,1.4432729629232417,2.1325302700993873,4.183419662884383,0.08164087731439196,1
2022-01-31,100,1.485201847375907,1.537488161600139,3.755799474046359,0,1
2022-02-01,101,1.5282586111913097,1.039466421981449,3.2649186359396536,0,1
2022-02-02,102,1.5727578064485974,0.6660882367738609,2.6816753565098344,0,1
2022-02-03,103,1.618161029934016,0.4115704876396672,2.1444920605635898,0,1
2022-02-04,104,1.6646990832373183,0.24934063455215807,1.7403210240983897,0,1
2022-02-05,105,1.7124526893210312,0.1541744976069548,1.4913873638651398,0,1
2022-02-06,106,1.7611452392758515,0.10321575513014981,1.3700352780670362,0,1
2022-02-07,107,1.810755728455561,0.0759776355804127,1.327389504422802,0,1
2022-02-08,108,1.8613238649822408,0.06654076161383478,1.2943938668463058,0,1
2022-02-09,109,1.9132699908908672,0.07585615810693473,1.2419529112157504,0,1
2022-02-10,110,1.965556732078043,0.10939094962180212,1.2472880011828467,0,1
2022-02-11,111,2.018782252910457,0.16728109795536986,1.457218643492561,0,1
2022-02-12,112,2.073814169088054,0.26686060712557275,2.606600585207021,0,1
2022-02-13,113,2.129025,0.4552518074157161,5.576516640141415,0,1
2022-02-14,114,2.119225,0.8113506317044292,7.9659716043345865,0,1
2022-02-15,115,2.10885,1.4584668363420512,11.439765341151375,0,1
2022-02-16,116,2.098425,2.628518382827886,18.29645638413844,0,1
2022-02-17,117,2.086925,4.672714036464313,22.137750836312406,0,1
2022-02-18,118,2.075,7.726333278797525,23.32108146348336,0,1
2022-02-19,119,2.06095,11.235929008946265,24.162350433033485,0,1
2022-02-20,120,2.046675,14.83115899666311,24.752326423884433,4.909991569441786,1
2022-02-21,121,2.03085,17.61762177598661,24.78375258543288,10.45149096654034,1
2022-02-22,122,2.0138,17.73677348117074,22.981721997369775,12.491824964971705,1
2022-02-23,123,1.99545,15.448094914576926,19.598523536092067,11.297666293061784,1
2022-02-24,124,1.97515,11.76010892180324,15.317797270870674,8.202420572735807,1
2022-02-25,125,1.954975,7.8130112649547385,10.923669310036939,4.702353219872538,1
2022-02-26,126,1.9332,4.423768573998608,7.131826806839412,1.715710341157803,1
2022-02-27,127,1.909675,2.1308033202132566,4.529598466432578,0,1
2022-02-28,128,1.88545,0.8613347650518745,2.9887237890933234,0,1
2022-03-01,129,1.858825,0.28279647172433003,2.1367692077930056,0,1
2022-03-02,130,1.83045,0.07737365649620263,1.6810829110279113,0,1
2022-03-03,131,1.8007,0.01679093561911969,1.4158011225277924,0,1
2022-03-04,132,1.7702,0.0022780422050152436,1.2305760009415059,0,1
2022-03-05,133,1.738475,1.8219259027073124e-4,1.0787553429174093,0,1
2022-03-06,134,1.70625,2.504706837374169e-5,0.9279145982545708,0,1
2022-03-07,135,1.670475,2.8618590144115643e-5,0.7792280658760776,0,1
2022-03-08,136,1.63335,4.539049948563559e-5,0.6412360187373021,0,1
2022-03-09,137,1.597425,7.456886153621423e-5,0.5230265440298238,0,1
2022-03-10,138,1.5591,1.255331990646826e-4,0.4290507514772244,0,1
2022-03-11,139,1.516275,2.1552991130158896e-4,0.3714975895386952,0,1
2022-03-12,140,1.475325,3.760719924750167e-4,0.3510044909470985,0,1
2022-03-13,141,1.435525,6.650696419679651e-4,0.36098616701482344,0,1
2022-03-14,142,1.39285,0.00118946387923837,0.4156376001071638,0,1
2022-03-15,143,1.351,0.0021474691384569676,0.5467561615834649,0,1
2022-03-16,144,1.308225,0.003907174701329365,0.7024034576624469,0,1
2022-03-17,145,1.26545,0.007151447075448196,0.7618041084753693,0,1
2022-03-18,146,1.223925,0.013139440521787187,0.7582818040738484,0,1
2022-03-19,147,1.1815,0.02415758762642249,0.8275798992504739,0,1
2022-03-20,148,1.141325,0.04422381803360107,0.9852884937359463,0,1
2022-03-21,149,1.09935,0.07994383729694612,1.0958322441288715,0,1
2022-03-22,150,1.057975,0.14079475818635703,1.6119767939952032,0,1
2022-03-23,151,1.019125,0.23677673083316578,2.7108864021480046,0,1
2022-03-24,152,0.979575,0.3708354466802619,4.245741405004609,0,1
2022-03-25,153,0.942925,0.5290658586668903,6.057341179828192,0,1
