time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week,seed
78,27021037174.23485,15530672686.391962,11490364487.842926,445,1978,8.019881554168663,7.80211324111917,8.562843402276286,8.339058556670436,7.851157287554166,7.368740771548675,8.609032138038367,8.385960852807994,7.16458759677167,12.129657430657222,9.854805823904995,10.049804537156554,8.282605644834167,1,TRUE,0,77
80,42966260479.15263,27234468523.70112,15731791955.451515,434,1893,8.483681004629169,8.549914693850939,8.557340638647531,8.473108464052203,8.31461137072176,7.022879238550698,7.774189798485928,8.872527503103628,9.82212716116143,8.742481403608025,7.805152238653269,8.648680450771588,8.527506449441557,3,TRUE,0,77
82,20494220079.131603,10733840421.94612,9760379657.185505,416,1801,7.743408735976711,8.067411950960311,8.151678999205808,7.715109420725636,7.268744585293379,7.315367966934488,8.013039318025479,7.5355968043974615,7.793796242010111,9.533339260483897,8.134153014314341,8.19915352439092,7.995194877544066,5,TRUE,0,77
84,62056931266.127975,52039098429.168816,10017832836.959148,404,1727,8.851318046889208,8.458846574856148,8.994856711159583,8.68868474761662,8.684453357999853,8.517913667509108,8.09757874976145,8.372413489947853,8.696393764649587,8.931026885567029,9.968378433624027,8.883573131630397,8.7383881581936,7,TRUE,0,77
86,43597912429.613045,18416043283.380787,25181869146.23228,387,1665,8.498275106100365,9.139607810709895,8.041917089172529,7.649476848520915,9.73126979605561,8.845551506024066,8.556500574217289,9.311745125012983,8.813148481609689,8.973553328881474,8.646168186675599,8.920979838826405,8.485029724727884,9,TRUE,1,77
88,47674061542.27096,15621023142.08981,32053038400.181126,391,1592,8.58765330375611,7.320545591165077,10.710662506983578,8.92034389725045,9.760002086147452,7.666000613876782,8.444544889941298,8.770827860924806,7.8462976389812935,8.376555490594752,8.216212412124602,9.158837498915478,9.794881411104338,11,TRUE,1,77
90,21260589131.433662,12445297183.045492,8815291948.388142,401,1528,7.780120920268075,7.445018417410605,8.233689855859389,7.755146638935602,7.8355791026801995,8.640153450000634,6.308546154932312,8.227329769467318,8.405955591749636,8.003444529838953,7.960857281112269,8.026700995228477,7.8646211101371595,13,TRUE,1,77
92,53204153621.70353,20315073771.027298,32889079850.676216,389,1491,8.6974023058422,8.268650037521128,10.385095168857582,8.121474492526662,8.622816034089121,8.606619781071768,7.869546446126034,8.816404416525506,8.427196456729963,8.142788039605705,9.79372163868175,9.05897419925757,9.488960296895105,15,TRUE,2,77
94,31107068447.767296,11579753054.097479,19527315393.669823,401,1453,8.160700911585813,8.109066659662364,7.570137955656824,7.883787407768841,8.131511404578777,6.062182024982196,6.564676728510031,8.250527401696377,8.590961841199922,8.656387677241462,8.343072095373605,8.058857606658746,7.878254674879396,17,TRUE,2,77
96,52342093118.761024,28146984185.223278,24195108933.537758,402,1423,8.681066724054322,8.175614419054032,8.914914860118573,9.325606640368063,7.802214049552584,8.374646240389847,8.424658621208941,9.035971190624027,8.755891801924346,8.321939345055842,8.857567357179605,8.690226488193439,8.91000560747555,19,TRUE,2,77
98,28072747442.32798,20530816309.17867,7541931133.149313,430,1373,8.058065100775114,7.619774386109315,7.898715405415424,8.407483676794234,7.527715006989211,7.925981744154301,7.517465452730815,7.638565236742066,8.61927223119475,7.453284988912125,8.932805702324213,8.089346209572371,8.029692729867241,21,TRUE,2,77
100,43029620182.82759,21262115872.124126,21767504310.70352,444,1365,8.485154556958697,7.931496707194811,8.172084490607125,7.5628493877200835,8.359444285383164,8.323111978578039,8.669125626474838,7.998609189393774,8.0629244370225,8.295203805775513,9.254070472726756,8.367795161532106,7.919311398575575,23,TRUE,3,77
102,34011690212.180824,18521898513.005127,15489791699.175695,490,1353,8.249970132236687,7.761208016716147,7.97004648204541,7.743289903206006,7.929304640099661,8.02617885582553,10.68528490434897,8.577109013231755,9.856046010858151,7.422460720348275,8.151750528282994,9.066664958895151,7.830263630842601,25,TRUE,3,77
104,50503025911.32522,42075839560.48378,8427186350.841447,547,1366,8.645299090468793,8.617539430377853,8.723453932050049,8.800033203347294,7.924210928042359,8.87993833359693,8.910765955150246,8.871103432859112,9.059189158381498,8.034448903032924,9.3580950126430409,8.79583506342691,8.716459299186216,27,TRUE,3,77
106,74918620028.95859,49156811516.22635,25761808512.73223,624,1380,9.039668295091566,8.298020019080093,10.037679053382945,9.050025441166605,9.329782938552597,9.03629728265539,8.789869195586684,9.21574885953947,10.802307921051298,9.092256480308128,8.64283475572327,9.513325712427624,9.376049812921513,29,TRUE,4,77
108,141977842928.20187,45481987195.18947,96495855733.01254,726,1427,9.678936846655944,9.607331722524263,7.6087322618396716,9.897300211991974,9.883048800117946,9.99622992422107,9.104383776975078,9.692664888957605,10.343365645648044,10.225889946125589,9.862271244322951,9.805595327855873,9.413710700771803,31,TRUE,4,77
110,108930679536.76576,61228970373.00906,47701709163.756805,833,1482,9.413977549309802,8.47178791876884,9.110734743026867,8.909507385295345,7.675475253460084,9.663260109343888,7.771621990140222,10.479789690960807,9.32591310535379,8.472813792061507,8.9849003480418,9.220952250751203,8.86465283355821,33,TRUE,4,77
112,80525511046.68861,45074202402.14409,35451308644.5446,930,1566,9.111839878578664,9.76156478704381,10.590627060619026,9.520389838876438,9.083823328080937,8.475500674392412,8.967184947808693,10.059819005666721,9.024332116684862,8.896563224341632,8.98954882970675,9.54115817402365,10.068282869368696,35,TRUE,4,77
114,130870473564.47466,104859209270.46135,26011264294.013206,1116,1672,9.597473919594208,10.037808224355672,9.216785434341954,9.67701254816109,9.484833040174122,10.521019557454132,9.195555738759165,9.418587356780716,9.632879150341985,9.837948556606095,10.054584704734847,9.790051983271976,9.698647033522361,37,TRUE,5,77
116,143533731055.22986,81378518397.69313,62155212657.53678,1355,1821,9.689835904142228,9.421156614443168,8.581652234104457,9.890829568663467,10.138589343394798,9.62282690917782,9.12347104040132,10.16463053373344,8.743949945773396,7.387591774016922,9.936737120463961,9.557720621863588,9.431567416197367,39,TRUE,5,77
118,181952953132.742,111830010856.12646,70122942276.61554,1596,2012,9.927013991335862,11.048825917795808,9.643027598019955,10.07505341888974,9.575677084622745,10.698376575295292,9.389737922462649,9.655951818575707,10.80197840522691,9.651710437500988,9.636148825134098,10.197183151001754,10.434383254622292,41,TRUE,5,77
