time,S,E,I,R1,beta_t,R0,integer_day,time_diff,Rt
0,99800,200,200,0,0.25,1.75,0,0,NA
0.9997568130493164,99743,208,219,28,0.25,1.75,1,2.4318695068359375e-4,1.7465
1.9982160267389066,99680,219,238,59,0.25,1.75,2,0.0017839732610933634,1.7455025
2.999372563823756,99604,245,239,104,0.25,1.75,3,6.274361762441671e-4,1.7444
3.9988427458513267,99541,249,263,135,0.25,1.75,4,0.0011572541486732923,1.74307
4.997759986805927,99480,247,290,163,0.25,1.75,5,0.002240013194072965,1.7419675
5.998529560800176,99400,271,306,200,0.25,1.75,6,0.0014704391998243693,1.7409
6.984536062480856,99332,253,352,225,0.25,1.75,7,0.015463937519143656,1.7395
7.998548848316869,99242,272,364,266,0.25,1.75,8,0.0014511516831312576,1.73831
8.997295271818388,99150,294,379,304,0.25,1.75,9,0.0027047281816123814,1.736735
9.99951886006482,99066,306,385,348,0.25,1.75,10,4.811399351805079e-4,1.735125
10.998908182024136,98979,319,408,382,0.25,1.75,11,0.0010918179758636626,1.733655
11.999846314234528,98879,328,437,422,0.25,1.75,12,1.536857654720336e-4,1.7321325
12.997315487024206,98770,357,450,465,0.25,1.75,13,0.0026845129757937514,1.7303825
13.997154991799045,98633,409,464,506,0.25,1.75,14,0.0028450082009552347,1.728475
14.997087792853222,98490,434,517,547,0.25,1.75,15,0.0029122071467782007,1.7260775
15.998679368144789,98344,468,547,600,0.25,1.75,16,0.0013206318552114737,1.723575
16.99699341006427,98215,482,583,640,0.25,1.75,17,0.0030065899357296644,1.72102
17.992835537233148,98053,506,638,681,0.25,1.75,18,0.007164462766851898,1.7187625
18.997410308629675,97872,544,680,751,0.25,1.75,19,0.0025896913703249425,1.7159275
19.998040986156607,97703,566,736,802,0.25,1.75,20,0.0019590138433933646,1.71276
20.997080853182414,97521,581,784,864,0.25,1.75,21,0.0029191468175859825,1.7098025
21.995020683542506,97309,622,836,941,0.25,1.75,22,0.00497931645749361,1.7066175
22.994147426921106,97090,686,873,1012,0.25,1.75,23,0.005852573078893641,1.7029075
23.999852746711746,96850,756,917,1078,0.25,1.75,24,1.472532882544897e-4,1.699075
24.9999712154545,96644,760,985,1164,0.25,1.75,25,2.8784545499149772e-5,1.694875
25.99653989448694,96415,800,1017,1256,0.25,1.75,26,0.0034601055130600855,1.69127
26.999724450526433,96164,853,1054,1332,0.25,1.75,27,2.7554947356733805e-4,1.6872625
27.99948135273404,95912,893,1084,1436,0.25,1.75,28,5.186472659595154e-4,1.68287
28.999542539827626,95660,922,1148,1527,0.25,1.75,29,4.5746017237391357e-4,1.67846
29.99718236666718,95403,954,1191,1632,0.25,1.75,30,0.0028176333328211456,1.67405
30.998933013168497,95082,1026,1259,1716,0.25,1.75,31,0.0010669868315034137,1.6695525
31.99998142126286,94750,1095,1359,1792,0.25,1.75,32,1.8578737140728663e-5,1.663935
32.99984837047529,94453,1103,1450,1871,0.25,1.75,33,1.5162952470859636e-4,1.658125
33.999487182291425,94119,1150,1540,1963,0.25,1.75,34,5.128177085751418e-4,1.6529275
34.999351144120126,93747,1236,1636,2032,0.25,1.75,35,6.488558798736221e-4,1.6470825
35.9966500298906,93360,1321,1713,2131,0.25,1.75,36,0.0033499701093973044,1.6405725
36.999366932090474,93217,1159,1790,2227,0.09999999999999999,0.7,37,6.330679095256642e-4,0.6535199999999999
37.999096083103915,93034,1053,1802,2382,0.09999999999999999,0.7,38,9.039168960853772e-4,0.652519
38.997067655652025,92865,989,1791,2492,0.09999999999999999,0.7,39,0.002932344347975402,0.651238
39.99834622998475,92703,917,1810,2562,0.09999999999999999,0.7,40,0.0016537700152525758,0.6500549999999999
40.999207220243626,92515,867,1773,2721,0.09999999999999999,0.7,41,7.927797563738181e-4,0.648921
41.99769190028737,92347,837,1744,2788,0.09999999999999999,0.7,42,0.002308099712628575,0.6476049999999999
42.995468194713084,92208,770,1705,2866,0.09999999999999999,0.7,43,0.004531805286916324,0.6464289999999999
43.996521605453815,92054,741,1670,2946,0.09999999999999999,0.7,44,0.0034783945461853705,0.645456
44.999986727441296,91901,716,1622,3003,0.09999999999999999,0.7,45,1.3272558703647519e-5,0.644378
45.999722996654974,91765,686,1553,3040,0.09999999999999999,0.7,46,2.770033450261167e-4,0.643307
46.99905084237164,91633,655,1505,3078,0.09999999999999999,0.7,47,9.491576283622294e-4,0.6423549999999999
47.9996078150628,91491,620,1454,3128,0.09999999999999999,0.7,48,3.9218493719772596e-4,0.641431
48.99672074626723,91369,588,1397,3158,0.09999999999999999,0.7,49,0.003279253732770826,0.6404369999999999
49.999808187721555,91255,567,1341,3181,0.09999999999999999,0.7,50,1.9181227844455861e-4,0.6395829999999999
