time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,74687240242.18979,58101420863.14043,16585819379.049402,534,2247,9.036575101137352,9.076396938192055,8.388131357957315,7.9659900361362315,9.784743947958479,8.946194096225042,9.612192050070803,8.4485821170271,9.5632987310254,8.935318393011475,8.8872315514858915,9.106569303679347,8.583122857377017,77.99881381465352,88843,234,534,2247,0.12857142857142856,0.8999999999999999,0.00118618534648362,0.8001179999999999,69,1,0
79,107332267172.9493,90352536188.16122,16979730984.788122,515,2186,9.399195160602094,9.00748552940664,9.87355974745087,9.426324710282136,8.848344608990699,10.022114924889449,9.643647564559082,10.10563736961273,9.944878542930674,6.93884357760254,9.2979402539541791,9.562147108448094,9.497650093835414,78.99463798021989,88777,241,515,2186,0.12857142857142856,0.8999999999999999,0.00536201978010808,0.7995869999999999,69,2,0
80,35612371525.83041,19895059394.301327,15717312131.529104,480,2138,8.29595892920564,6.784462577562255,8.042094860615377,7.774445749008617,7.168188593770851,8.4471873683549,10.674841853947743,8.288235578253396,9.112205635297789,8.125900362480614,7.816226730262529,8.91582117298164,7.661079730848051,79.99812573124406,88730,241,480,2138,0.13249344604252208,0.9274541222976548,0.00187426875594098,0.8233659461521888,69,3,0
81,48950490645.58546,23791741748.336,25158748897.24945,474,2078,8.614075229275873,8.234750507267561,8.46964589593173,8.608534580472023,8.087336162065972,8.029548962562352,9.788161057700183,8.313608783990716,9.647423874870176,8.891917780016131,8.729334847251597,8.870326435881228,8.449324048344746,80.99301534763761,88659,248,474,2078,0.13653510301062108,0.9557457210743476,0.00698465236239087,0.8480331783092687,69,4,0
82,64984081062.932465,44114474944.059906,20869606118.872585,462,2046,8.897408170123384,8.134770796665451,8.578395760572263,9.141924444901457,9.357445397386522,9.333382471005079,6.389565113358465,8.115393015348783,8.45213799834527,8.429255355896103,8.698670672181343,8.702172493190792,8.703137350486218,81.99896829127607,88605,244,462,2046,0.14070004902837266,0.9849003431986086,0.00103170872392865,0.8732027952764544,69,5,0
83,28582152228.33372,18515015393.48123,10067136834.852486,441,1998,8.076048312012883,8.818294674506285,8.102462683172641,8.182254449713458,8.276320314361515,7.345548650961177,8.161661721464036,8.096559651115186,7.70476220324927,8.571428065535969,7.994618480839958,8.1987740680433,8.421873447124359,82.99908217010949,88541,254,441,1998,0.14499204497649593,1.0149443148354715,9.17829890511257e-4,0.8992914101599695,69,6,0
84,48756891435.23609,38347395468.61656,10409495966.619543,444,1951,8.610112387173565,9.48676324885953,7.56349802810259,6.772970439203097,9.241687408584621,9.12920956421434,8.843242092372432,8.280774524122892,8.138671820920289,8.77628777024932,7.488858112038868,8.667155441516488,8.580764342302215,83.9879145700051,88491,243,444,1951,0.14941496645979788,1.045904765218585,0.01208542999489736,0.9260545381721874,69,7,0
85,38800358006.74455,25364412180.62837,13435945826.116219,434,1915,8.381695310511024,8.72070351586329,7.721232534502338,8.692731896696127,8.436752481714333,8.26200310276689,8.900577917437058,10.592533471805739,8.767171452331777,8.223795746455993,7.7979561656877765,9.019032087085717,8.472451567168433,84.99642495930433,88445,234,434,1915,0.1539728073067837,1.077809651147486,0.00357504069566516,0.953764538396922,69,8,1
86,80332897492.33249,10127397365.569345,70205500126.76306,437,1869,9.109445056347589,8.857821786022452,9.154628910038564,8.822303076680468,8.793105360993728,6.840201590864757,8.291903868641308,9.830459005421446,9.866803933816739,9.175415229664452,9.364556750520773,9.148265238116833,8.95635719149863,85.99407556374435,88379,237,437,1869,0.15866968317602106,1.1106877822321477,0.00592443625565408,0.9823478089952228,69,9,1
87,34361639129.002396,21271211636.255436,13090427492.746944,426,1835,8.260206637493976,6.345023684210936,7.611683165289985,8.404733716276926,7.3837640839784715,7.985338399793832,8.284189149985107,9.595798791502736,8.07410021300101,8.075826007437776,8.178250183137697,8.300503124157489,7.763516755841651,86.99964000882447,88321,233,426,1835,0.16350983527251506,1.1445688469076054,3.5999117552876214e-4,1.011558501208473,69,10,1
88,32071785018.37667,18907860111.243866,13163924907.13278,423,1796,8.191242509170383,8.202342770724293,7.905592539616406,8.47298653220088,8.468682507845013,6.470729517778858,8.396437578526616,7.20542365665497,6.727602491642517,9.434837992049331,8.661209577465923,8.32988563987802,8.220195017429198,87.99898405631916,88249,244,423,1796,0.16849763417744945,1.1794834392421465,0.00101594368084079,1.041731568373056,69,11,1
89,27526095408.17996,17206666400.38129,10319429007.798685,414,1775,8.038400315609056,10.052371156088721,7.658344973433126,8.841527262492633,6.412731187345588,8.052157255054587,6.701451408605062,7.458730455278195,5.641479951595095,7.452229846008715,7.3306564883039105,8.344627906481296,9.282492125613711,88.99662440618343,88184,239,414,1775,0.173637583794753,1.215463086563271,0.00337559381657115,1.072634019261221,69,12,1
90,46159631466.39005,27684294361.423466,18475337104.96656,434,1730,8.555371475284012,9.70109492929641,8.426744480385405,8.461318951027614,8.011088246943945,8.448282188420439,7.629737844897541,8.036011703486023,8.58031228598966,9.081464374831677,7.86871375856263,8.61599177223542,9.052960364996212,89.99948910238093,88109,242,434,1730,0.1789343254180534,1.252540277926374,5.108976190655312e-4,1.1045401186865935,69,13,1
91,36742635842.173096,25064400694.423695,11678235147.749401,436,1692,8.32720365727846,6.815496845163342,8.077927338442063,8.047778699415696,7.014488883906504,8.89106928670446,7.967916662932517,8.05001789216428,8.245590517709998,7.814602913599938,9.441855083417671,8.30779810354713,7.791696098632295,90.996835944717,88044,253,436,1692,0.1843926419216929,1.2907484934518505,0.00316405528300833,1.1372655900954909,69,14,1
