time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,74687240242.18979,58101420863.14043,16585819379.049402,534,2247,77.99881381465352,88843,234,534,2247,0.12857142857142856,0.8999999999999999,0.00118618534648362,0.8001179999999999,69
79,107332267172.9493,90352536188.16122,16979730984.788122,515,2186,78.99463798021989,88777,241,515,2186,0.12857142857142856,0.8999999999999999,0.00536201978010808,0.7995869999999999,69
80,35612371525.83041,19895059394.301327,15717312131.529104,480,2138,79.99812573124406,88730,241,480,2138,0.13249344604252208,0.9274541222976548,0.00187426875594098,0.8233659461521888,69
81,48950490645.58546,23791741748.336,25158748897.24945,474,2078,80.99301534763761,88659,248,474,2078,0.13653510301062108,0.9557457210743476,0.00698465236239087,0.8480331783092687,69
82,64984081062.932465,44114474944.059906,20869606118.872585,462,2046,81.99896829127607,88605,244,462,2046,0.14070004902837266,0.9849003431986086,0.00103170872392865,0.8732027952764544,69
83,28582152228.33372,18515015393.48123,10067136834.852486,441,1998,82.99908217010949,88541,254,441,1998,0.14499204497649593,1.0149443148354715,9.17829890511257e-4,0.8992914101599695,69
84,48756891435.23609,38347395468.61656,10409495966.619543,444,1951,83.9879145700051,88491,243,444,1951,0.14941496645979788,1.045904765218585,0.01208542999489736,0.9260545381721874,69
85,38800358006.74455,25364412180.62837,13435945826.116219,434,1915,84.99642495930433,88445,234,434,1915,0.1539728073067837,1.077809651147486,0.00357504069566516,0.953764538396922,69
86,80332897492.33249,10127397365.569345,70205500126.76306,437,1869,85.99407556374435,88379,237,437,1869,0.15866968317602106,1.1106877822321477,0.00592443625565408,0.9823478089952228,69
87,34361639129.002396,21271211636.255436,13090427492.746944,426,1835,86.99964000882447,88321,233,426,1835,0.16350983527251506,1.1445688469076054,3.5999117552876214e-4,1.011558501208473,69
88,32071785018.37667,18907860111.243866,13163924907.13278,423,1796,87.99898405631916,88249,244,423,1796,0.16849763417744945,1.1794834392421465,0.00101594368084079,1.041731568373056,69
89,27526095408.17996,17206666400.38129,10319429007.798685,414,1775,88.99662440618343,88184,239,414,1775,0.173637583794753,1.215463086563271,0.00337559381657115,1.072634019261221,69
90,46159631466.39005,27684294361.423466,18475337104.96656,434,1730,89.99948910238093,88109,242,434,1730,0.1789343254180534,1.252540277926374,5.108976190655312e-4,1.1045401186865935,69
91,36742635842.173096,25064400694.423695,11678235147.749401,436,1692,90.996835944717,88044,253,436,1692,0.1843926419216929,1.2907484934518505,0.00316405528300833,1.1372655900954909,69
92,58941998945.21255,23231243032.346703,35710755912.86584,460,1656,91.9965023700746,87964,263,460,1656,0.1900174620795882,1.3301222345571175,0.00349762992540547,1.1710928201934685,69
93,50996456226.3856,26869190364.164185,24127265862.22139,476,1617,92.9952663539202,87893,260,476,1617,0.19581386501583592,1.3706970551108515,0.00473364607979931,1.205719957557709,69
94,39102714319.66293,18888853915.183754,20213860404.47917,470,1606,93.9966391938117,87799,286,470,1606,0.2017870847910817,1.412509593537572,0.00336080618829726,1.2414970570479782,69
95,27259191924.68473,16568017223.144901,10691174701.539814,477,1585,94.99433937086584,87713,301,477,1585,0.2079425151287945,1.4555976059015616,0.00566062913415521,1.278000142005512,69
96,30599783653.18838,15890957340.75807,14708826312.430296,495,1549,95.99876871221402,87612,316,495,1549,0.21428571428571427,1.5,0.00123128778598413,1.315695,69
97,111563855988.96965,95149960213.12677,16413895775.842957,503,1537,96.99851394707844,87523,326,503,1537,0.22082241007087017,1.5457568704960911,0.00148605292154968,1.3542685093790354,69
98,70795884517.51817,28342717055.092743,42453167462.42536,505,1547,97.99677364780084,87411,362,505,1547,0.22755850501770175,1.5929095351239124,0.00322635219916378,1.3941622124265018,69
99,62551739978.22302,50324966330.58928,12226773647.633747,525,1547,98.99956869999492,87299,379,525,1547,0.23450008171395448,1.6415005719976814,4.313000050899518e-4,1.4348520649888934,69
100,51931718639.496704,20372960406.528027,31558758232.968758,525,1546,99.99324083313856,87205,394,525,1546,0.24165340829415993,1.6915738580591195,0.00675916686142841,1.4767270623470308,69
101,45163289582.38525,22513871683.878475,22649417898.50669,547,1523,100.99731502732304,87076,426,547,1523,0.2490249440996631,1.7431746086976418,0.00268497267695977,1.5201354175147788,69
102,79252689445.35963,57657008773.10479,21595680672.254837,565,1536,101.99937691043064,86948,450,565,1536,0.25662134551130616,1.796349418579143,6.230895693732919e-4,1.5641892197219749,69
103,67565079918.52456,32921972967.430008,34643106951.09457,605,1522,102.99972267650963,86814,461,605,1522,0.26444947196003515,1.8511463037202465,2.7732349035147763e-4,1.6095346881586796,69
104,68439971423.856415,38070202263.65056,30369769160.205765,625,1522,103.99795689310392,86668,493,625,1522,0.27251639212085843,1.907614744846009,0.00204310689606757,1.6560766645906144,69
105,67156204757.13049,44515336370.432465,22640868386.698,650,1531,104.99653663591032,86515,532,650,1531,0.28082939029574916,1.965805732070244,0.00346336408968284,1.7037245118706394,69
106,90959259184.20816,65189561285.946495,25769697898.261784,686,1536,105.99911456311924,86360,554,686,1536,0.289395972991255,2.0257718109387852,8.854368807504898e-4,1.75259648223369,69
107,120117320102.03857,66495736627.62787,53621583474.410774,715,1550,106.999780026473,86181,598,715,1550,0.2982238756967557,2.0875671298772898,2.199735269954317e-4,1.8028229733620276,69
108,54432651471.38294,34821152009.704216,19611499461.6787,768,1567,107.99969255332066,85997,630,768,1567,0.30732106986948815,2.1512474890864173,3.074466793435704e-4,1.8539665985695657,69
109,67091445078.75412,41875734279.94138,25215710798.812775,799,1620,108.99904349672651,85771,688,799,1620,0.316695770132647,2.2168703909285292,9.565032734712986e-4,1.9064420300868072,69
110,130119883928.33337,100806173604.62593,29313710323.70754,853,1638,109.99789399746676,85527,764,853,1638,0.32635644169305994,2.2844950918514195,0.00210600253323889,1.9594342852318811,69
111,87722679662.17458,43872934921.90306,43849744740.27166,934,1672,110.99898044558232,85256,836,934,1672,0.33631180798513616,2.3541826558959533,0.00101955441768097,2.013461800108132,69
112,109589250610.84465,76819810632.79376,32769439978.050903,981,1744,111.9998384306876,84958,936,981,1744,0.3465708585479909,2.425996009835937,1.6156931239663663e-4,2.068307158145726,69
113,124354800647.09116,75401277797.26662,48953522849.824455,1100,1786,112.99978208960358,84614,1022,1100,1786,0.3571428571428571,2.5,2.1791039641527732e-4,2.12395,69
114,100533217309.57883,54687013914.536224,45846203395.0425,1181,1843,113.99898841334095,84254,1132,1181,1843,0.3571428571428571,2.5,0.00101158665903255,2.11535,69
115,129188391038.72975,99234429888.47556,29953961150.254383,1287,1891,114.9991054557542,83892,1212,1287,1891,0.3571428571428571,2.5,8.945442458099251e-4,2.10635,69
116,159102888805.5591,120039588414.79033,39063300390.76831,1392,1989,115.999365663054,83485,1321,1392,1989,0.3571428571428571,2.5,6.343369459926862e-4,2.0973,69
117,206884898077.434,120449663923.5749,86435234153.85948,1516,2075,116.99963237422838,83044,1430,1516,2075,0.3571428571428571,2.5,3.67625771616531e-4,2.087125,69
118,193021851221.1115,87782984955.39879,105238866265.71266,1669,2177,117.9979865471076,82562,1551,1669,2177,0.3571428571428571,2.5,0.00201345289239895,2.0761,69
119,221887901113.21045,161558691822.8662,60329209290.34416,1847,2276,118.99794015722875,82070,1623,1847,2276,0.3571428571428571,2.5,0.0020598427712315,2.06405,69
120,463475986747.67303,321193475611.89984,142282511135.77274,2021,2416,119.99802368262247,81466,1791,2021,2416,0.3571428571428571,2.5,0.0019763173775118,2.05175,69
121,237943041945.91013,157567882968.02356,80375158977.88614,2141,2572,120.99868752953051,80858,1970,2141,2572,0.3571428571428571,2.5,0.00131247046948601,2.03665,69
122,218725522867.1538,148253719979.7501,70471802887.40372,2335,2717,121.99988455116244,80170,2162,2335,2717,0.3571428571428571,2.5,1.1544883754766032e-4,2.02145,69
123,284697703183.3977,183643253849.88623,101054449333.51144,2569,2952,122.99974695694962,79480,2233,2569,2952,0.3571428571428571,2.5,2.5304305037820995e-4,2.00425,69
124,281970940431.41766,167646834494.6392,114324105936.77841,2731,3178,123.9986952430428,78770,2373,2731,3178,0.3571428571428571,2.5,0.00130475695719667,1.987,69
125,414767959526.42065,239449149708.80655,175318809817.615,2979,3376,124.99934174921432,77952,2558,2979,3376,0.3571428571428571,2.5,6.58250785690484e-4,1.96925,69
126,690278459213.0742,514202618480.732,176075840732.33963,3193,3608,125.99772414502988,77105,2756,3193,3608,0.3571428571428571,2.5,0.00227585497010807,1.9488,69
127,446158000413.8882,320903948518.6986,125254051895.18971,3431,3890,126.9993067603487,76185,2947,3431,3890,0.3571428571428571,2.5,6.932396512979722e-4,1.927625,69
128,370192554805.1551,228947868820.92722,141244685984.2263,3627,4163,127.9993050518041,75300,3104,3627,4163,0.3571428571428571,2.5,6.949481958997694e-4,1.904625,69
129,494952614869.4932,253919785972.1683,241032828897.32465,3890,4435,128.99993122635647,74267,3356,3890,4435,0.3571428571428571,2.5,6.877364353385929e-5,1.8825,69
130,367306811085.3709,227635880616.40814,139670930468.9628,4156,4766,129.9999405236075,73195,3581,4156,4766,0.3571428571428571,2.5,5.947639249370695e-5,1.856675,69
131,579803863945.8046,252063298213.35626,327740565732.44946,4459,5073,130.9995316457291,72044,3844,4459,5073,0.3571428571428571,2.5,4.683542709074118e-4,1.829875,69
132,506242627070.49115,327014422315.80615,179228204754.68387,4786,5447,131.99993446596812,70878,4031,4786,5447,0.3571428571428571,2.5,6.553403187581353e-5,1.8011,69
133,595084943720.8313,348017795674.7033,247067148046.12796,5104,5832,132.99998404000303,69597,4309,5104,5832,0.3571428571428571,2.5,1.5959996972014778e-5,1.77195,69
134,649019358801.3499,376238580067.21454,272780778734.13507,5468,6263,133.99966037456582,68239,4549,5468,6263,0.3571428571428571,2.5,3.396254341794247e-4,1.739925,69
135,710415726807.8115,435117963837.08594,275297762970.72266,5753,6728,134.9994833648661,66883,4810,5753,6728,0.3571428571428571,2.5,5.16635133891441e-4,1.705975,69
136,937389706463.17,626177935992.6921,311211770470.476,6107,7200,135.9995259346707,65431,5053,6107,7200,0.3571428571428571,2.5,4.74065329314044e-4,1.672075,69
137,745651377579.2169,399783255071.1859,345868122508.02936,6524,7694,136.99989737031694,63919,5230,6524,7694,0.3571428571428571,2.5,1.0262968305596588e-4,1.635775,69
138,826508558863.8353,537403664085.88403,289104894777.9529,6806,8240,137.99987161192536,62484,5391,6806,8240,0.3571428571428571,2.5,1.2838807464277124e-4,1.597975,69
139,964531465783.1068,537758658027.07556,426772807756.03577,7135,8811,138.9999922787356,60905,5590,7135,8811,0.3571428571428571,2.5,7.721264410065487e-6,1.5621,69
140,925441661529.8239,592334258110.8525,333107403418.9683,7542,9332,139.99996910157708,59292,5739,7542,9332,0.3571428571428571,2.5,3.0898422920699886e-5,1.522625,69
141,878285840887.5911,492012390649.83716,386273450237.7534,7896,9917,140.99997714248536,57730,5855,7896,9917,0.3571428571428571,2.5,2.2857514636598353e-5,1.4823,69
142,965834285201.6305,638588958339.9128,327245326861.7155,8242,10477,141.99969040660514,56087,6014,8242,10477,0.3571428571428571,2.5,3.0959339486003046e-4,1.44325,69
143,1219830414282.855,786950179358.2777,432880234924.5769,8528,11110,142.99990061370497,54420,6191,8528,11110,0.3571428571428571,2.5,9.93862950338098e-5,1.402175,69
144,903448019733.9332,565546184102.089,337901835631.8458,8827,11715,143.99942609071232,52760,6320,8827,11715,0.3571428571428571,2.5,5.739092876808627e-4,1.3605,69
145,1747742852521.732,894531462101.6559,853211390420.0804,9123,12404,144.99987299612744,50999,6468,9123,12404,0.3571428571428571,2.5,1.2700387256359136e-4,1.319,69
146,1108198127246.0088,653716854115.1307,454481273130.8815,9441,13054,145.99996277073006,49404,6416,9441,13054,0.3571428571428571,2.5,3.722926993532383e-5,1.274975,69
147,1126993364724.1833,731574735868.1613,395418628856.02216,9637,13704,146.99978566010213,47765,6477,9637,13704,0.3571428571428571,2.5,2.143398978660116e-4,1.2351,69
148,1227780489576.0554,781089026256.278,446691463319.78143,9817,14301,147.99943388976521,46140,6518,9817,14301,0.3571428571428571,2.5,5.661102348142322e-4,1.194125,69
149,1115984419152.935,671553199577.5961,444431219575.3365,9901,14961,148.99997273516632,44620,6477,9901,14961,0.3571428571428571,2.5,2.7264833676099443e-5,1.1535,69
150,1050978236046.6298,619441600492.2285,431536635554.39813,10165,15457,149.99986024848212,43095,6373,10165,15457,0.3571428571428571,2.5,1.3975151787803952e-4,1.1155,69
151,1108844073478.9307,732531860546.7578,376312212932.1752,10293,16041,150.99990520540075,41598,6256,10293,16041,0.3571428571428571,2.5,9.479459924932598e-5,1.077375,69
152,1163610253171.1646,780756646931.1511,382853606240.01404,10404,16650,151.99954265734252,40038,6238,10404,16650,0.3571428571428571,2.5,4.5734265748365033e-4,1.03995,69
153,1004179817765.5073,604188482428.2593,399991335337.2458,10534,17179,152.99995081414045,38496,6159,10534,17179,0.3571428571428571,2.5,4.918585955238086e-5,1.00095,69
154,1160681404479.1616,721964177475.9619,438717227003.1913,10639,17651,153.99963447927303,37131,5974,10639,17651,0.3571428571428571,2.5,3.655207269730454e-4,0.9624,69
155,1268977436047.7412,771386972521.6964,497590463526.0465,10537,18194,154.99973330201524,35721,5951,10537,18194,0.3571428571428571,2.5,2.666979847560924e-4,0.928275,69
156,1299459943664.4617,894064888508.0553,405395055156.39703,10486,18741,155.99973761662974,34453,5741,10486,18741,0.3571428571428571,2.5,2.6238337025574765e-4,0.893025,69
157,1195688338043.1404,812345129114.583,383343208928.55695,10330,19175,156.99991421662614,33162,5670,10330,19175,0.3571428571428571,2.5,8.578337386211388e-5,0.861325,69
