time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week,seed
78,48089170172.610695,13946295628.246494,34142874544.364204,469,1980,8.596322836370959,8.747729189333986,8.311278000173873,9.597852959580717,9.018631133558745,8.449392488504097,9.095444423889859,8.320606014205868,8.409588488043047,7.248332027216599,8.994716384096797,8.77963426824383,9.031970974113813,1,TRUE,0,23
80,33227895787.9914,16499305146.55511,16728590641.436295,447,1904,8.226655594647443,9.538556659656798,6.958244966398794,8.549438886332899,8.922014153747769,7.716639868060645,7.917359412287638,8.037058873240587,7.954777158708909,6.65685611226227,8.297451533724963,8.37378478894397,8.809889404522266,3,TRUE,0,23
82,47193155876.78858,38695417691.24954,8497738185.539046,437,1811,8.577514716413614,9.448035771449057,8.519444285902278,8.809474939716825,8.657932362541379,9.060123861285469,8.631424621556853,8.407867968323634,9.15390680887013,9.034748830372724,8.86642391348733,8.906132744991544,9.003394017322432,5,TRUE,0,23
84,87745357034.17227,50578437582.96745,37166919451.20473,425,1750,9.19770478660105,9.725193108524,9.235245812079011,7.97787058989411,8.819209179881222,9.62609008057442,8.930991062421358,8.561537671150152,8.803696332310958,8.422273949912647,9.176982897015465,9.053537277996712,9.207062269872274,7,TRUE,0,23
86,133345697169.32616,120664065449.18097,12681631720.145214,388,1657,9.616210819857184,9.39345204551358,9.71758129533515,9.237468363356847,9.180226768841598,9.850857899679538,8.571409887441424,9.612320166329047,10.04108522233377,9.483036817484956,10.215327369785731,9.623772800943566,9.469918883363828,9,TRUE,1,23
88,28606874818.096928,19211835891.98092,9395038926.116007,378,1586,8.076912904141132,8.634093256130052,6.474736559139451,7.688649508350556,8.708797615264045,9.375452977294925,5.850507034715128,8.037638337812238,8.062814097996851,7.653787855432385,8.805273809471247,8.335625281259697,7.943547001807774,11,TRUE,1,23
90,23810856489.25972,9987444963.672066,13823411525.587631,393,1533,7.893407468627682,7.20514802120131,6.6131660209798655,7.97876442304835,8.760119089679684,8.296071782092762,8.784853636465847,7.7273262137145995,7.75887735047224,6.837759752394789,7.037397110349408,7.958912735240603,7.42047998740141,13,TRUE,1,23
92,29589268146.490196,15461586248.832766,14127681897.65745,411,1452,8.110677569916135,6.228925273607674,8.406696365846633,8.400063484213574,8.857540960937603,8.32630141676304,7.995275763668135,6.752689673520603,7.8248398816004165,7.572613309852413,9.30761269573108,8.291066910063039,8.053198672982498,15,TRUE,2,23
94,54163509773.9513,33645598834.507793,20517910939.443485,414,1402,8.715273267253401,8.735636904218229,7.941336365563676,9.214565716375398,9.343724375062173,9.858584246059905,9.028664196481587,8.44000084153164,9.236355249844376,9.883419944253935,9.671094403172743,9.290158524344678,8.7574771335456,17,TRUE,2,23
96,36367060520.742744,23851913497.862736,12515147022.880064,438,1365,8.316929271143266,8.869502440584823,8.072826946808902,9.524139726270326,9.682211317496117,7.576580884301346,8.206999235766684,7.031918943652093,8.465390842455532,7.7311079008741395,8.350546804012893,8.666351206487667,8.987365358717978,19,TRUE,2,23
