time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,70748536932.35643,14300240909.176102,56448296023.180336,500,1946,8.982397693854615,8.970124451817956,8.796239521963566,9.91008124898791,7.831943309792922,9.382515299522854,8.89394343991312,8.831991070757388,3.5470368354690907,8.725624827149884,8.945204348259276,8.949066167387441,9.353176797401249,77.99359773814975,90463,212,500,1946,0.12857142857142856,0.8999999999999999,0.00640226185025483,0.8146079999999999,85,1,0
79,41397952862.19598,29770470775.491207,11627482086.704798,492,1924,8.446497268782053,8.716057927541563,8.024092936048326,8.4034112958777,8.539368770676239,7.573244561986033,11.20003901469072,8.419330306550105,8.532424116759037,7.730094560839839,8.817917659084717,9.327656257718557,8.420388396935092,78.99778238805435,90405,196,492,1924,0.12857142857142856,0.8999999999999999,0.00221761194565317,0.814167,85,2,0
80,43770533945.87864,12386960756.310022,31383573189.568607,467,1890,8.502226686975394,8.513728256821512,9.031884603433761,8.350107494234052,6.359392801523304,9.056168575836542,8.595836784375985,9.10695867834215,8.218987439008513,8.942444290258566,6.749144619223107,8.582399473657386,8.675845232223784,79.99944091397077,90348,200,467,1890,0.13249344604252208,0.9274541222976548,5.590860292272737e-4,0.8384648992631947,85,3,0
81,39949494178.0577,29836456502.51681,10113037675.540878,459,1823,8.410881847703262,8.150311213626924,8.280107922460605,5.95489860107079,8.276900822333522,7.995221593496526,8.70683687881588,5.8299772502567,8.270687986019189,9.429749370014413,8.426101503460437,8.342925724799406,7.862588925320871,80.99928775710937,90290,209,459,1823,0.13653510301062108,0.9557457210743476,7.12242890628545e-4,0.8634971440762516,85,4,0
82,37773015763.97009,26531167598.05593,11241848165.91417,428,1795,8.35486081596834,9.678492319303157,8.438414478834028,8.919113498975776,9.071082440881595,8.528347696806806,9.524059031698135,8.650651804046495,7.9092716699659755,8.233118386866659,9.194338695986438,8.956058726283773,9.143669220741197,81.99978639138537,90233,220,428,1795,0.14070004902837266,0.9849003431986086,2.136086146293792e-4,0.8892665198740238,85,5,0
83,79468250260.45851,17787417942.420006,61680832318.038506,427,1756,9.098623411045168,9.07345421328993,9.914923076474798,9.512458068388241,8.412292851067848,8.64303298778679,8.936936153961092,8.617830764939916,9.638794505831777,9.265225892977366,9.576471775973266,9.269761452030828,9.558127459435152,82.9989328193954,90170,226,427,1756,0.14499204497649593,1.0149443148354715,0.00106718060459343,0.9158147036054912,85,6,0
84,45675972596.446205,17647433364.321922,28028539232.12422,409,1714,8.544838232830433,8.891200341560658,9.105107135254396,8.95270337535986,8.549470699287989,9.68928305510518,10.46041884659052,8.368712707655126,9.021240275572564,9.027030177535693,8.715411252595205,9.28005164499689,8.987098510737855,83.99390976733623,90121,228,409,1714,0.14941496645979788,1.045904765218585,0.00609023266376596,0.9430923267975982,85,7,0
85,37773277508.474525,29267544214.169815,8505733294.304734,420,1657,8.354867745348805,8.748422508426593,9.234245567928811,8.19716254969776,9.400120527040768,8.233116658249125,7.7926079555949075,7.911376957434864,8.644724063783373,8.154610240267978,8.342767512952891,8.604042971082075,8.81350328470187,84.99953681567096,90074,213,420,1657,0.1539728073067837,1.077809651147486,4.631843290354709e-4,0.9713328357106258,85,8,1
86,55717544271.835846,45084446002.65374,10633098269.18211,425,1633,8.743560912234884,9.461636741079381,8.345305929438135,7.679474961494032,13.11971923970798,8.93027534638102,8.21471670114151,9.361873377499432,9.588734577737561,8.996189304783888,9.08264961768692,10.954784217407008,8.765654317151075,85.99975045326802,90001,223,425,1633,0.15866968317602106,1.1106877822321477,2.495467319789668e-4,1.0004409129677845,85,9,1
87,60773430577.686,13763204405.608952,47010226172.07709,424,1595,8.83041853332995,9.380267323575099,7.6351287146733995,8.830833084988814,8.700015201075127,8.978000989084698,8.664597278337943,9.887259222895569,8.452466997832898,9.026398582503429,9.427309498279376,9.05480011938802,8.842354293943753,86.99191623992147,89932,230,424,1595,0.16350983527251506,1.1445688469076054,0.00808376007853439,1.030123407905314,85,10,1
