time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,52598735142.810524,34941280541.99184,17657454600.818684,490,2183,8.68595790968632,7.478532591963885,8.413714664067648,8.339429816161598,8.35836263649091,7.885259316667456,7.435406912884365,8.364328399242877,9.074413282374424,8.804927015171476,8.470214627883017,8.378853224374488,8.157066721177511,77.99990277820625,89063,248,490,2183,0.12857142857142856,0.8999999999999999,9.722179375160068e-5,0.8020349999999998,92,1,0
79,38672125636.06267,23342142724.954433,15329982911.108297,488,2132,8.378384909662675,8.98877466894459,8.296393879912863,8.22974809807331,9.003524741835555,7.8411684478801496,8.362514747564532,8.438807717935726,8.487859437493341,8.9807228462793791,9.186248180443938,8.66423408428925,8.567436869239764,78.99763950101242,89020,231,488,2132,0.12857142857142856,0.8999999999999999,0.00236049898758494,0.8015669999999999,92,2,0
80,25958063903.647655,14154706218.910889,11803357684.736753,493,2072,7.97974814601832,7.6281352795826765,7.93522785189726,8.295698553335196,8.51820108884834,8.909209195847037,9.19417818000114,8.041973451825678,7.310944459153532,6.573181207682653,7.964785697468394,8.276372411933902,7.990216778824115,79.9982988239179,88967,221,493,2072,0.13249344604252208,0.9274541222976548,0.00170117608209352,0.8256196596693722,92,3,0
81,47414185475.848915,17346553404.073196,30067632071.775658,488,2029,8.582187292516998,8.46026597998593,7.998442269129557,9.069508458092269,8.137775171404156,8.03499726629575,8.201704728728359,7.742149716760456,7.1540526527919885,8.820303340457402,7.68429735959012,8.270487581048704,8.605569402411232,80.99537346555158,88910,214,488,2029,0.13653510301062108,0.9557457210743476,0.00462653444841976,0.8502982956682148,92,4,0
82,111118512553.5506,17848354881.446198,93270157672.10446,458,1984,9.433863149355737,10.343217767906474,8.4913281536074,8.70464465666434,9.119305677307608,9.851001506524721,12.205821966773856,10.67728153683487,10.02580707044639,9.126287887201958,9.716327374884688,10.496117775231395,9.54559660975113,81.99213125225505,88862,218,458,1984,0.14070004902837266,0.9849003431986086,0.00786874774495061,0.875674895137883,92,5,0
83,26158994010.989307,15473073688.849728,10685920322.13958,451,1945,7.987458907558576,10.647787660059775,7.729385705204896,8.049828414941175,8.605322391520286,7.478834979278772,8.076616364396259,8.700626972192547,8.012349293831436,9.138270565160303,8.685762086060713,9.01436621942175,9.670016173374623,82.99899651575984,88810,213,451,1945,0.14499204497649593,1.0149443148354715,0.00100348424015805,0.9018998170490968,92,6,0
84,26131791053.337917,16085079131.509933,10046711921.82801,424,1924,7.9864184580770115,8.143972324428548,8.404876440963372,7.672974757247495,8.654379760306343,7.812698898459189,7.689442124629656,6.942343612751563,7.981515676592831,7.533008496421756,9.107739674599888,8.169283835071399,8.117793390309734,83.99858752044658,88751,222,424,1924,0.14941496645979788,1.045904765218585,0.00141247955342294,0.9288680219906256,92,7,0
85,35913047730.272194,25900837607.00916,10012210123.263044,417,1862,8.30436651293564,7.502292415440356,7.787021115132087,8.081586040766918,8.193740751497398,7.78282605462789,7.94688788971214,8.150497325494692,8.491808218267899,8.189713615945392,8.450592645737107,8.09928188225917,7.818119323994381,84.99994614204869,88687,233,417,1862,0.1539728073067837,1.077809651147486,5.3857951314739694e-5,0.9565668434899052,92,8,1
86,34307973230.616776,21546286842.276028,12761686388.34074,412,1828,8.258643619807778,8.033092584445235,8.843618628796998,8.732957908374557,8.367752627440515,8.650167273022102,8.558315683607063,8.613793413068295,8.224929217787304,8.405012708211002,8.12420868272579,8.487287414830098,8.595100236920995,85.99977546293687,88632,224,412,1828,0.15866968317602106,1.1106877822321477,2.2453706313285693e-4,0.9850356734282248,92,9,1
87,31931522248.402744,19183023840.66765,12748498407.735098,389,1815,8.18685951708737,8.344544704123237,8.026353003460981,7.1525111377601895,8.511109237620182,9.515329642921117,7.399770228000043,6.48960665261963,8.224524485009505,8.838300924726164,8.848193506457802,8.454489868484057,7.954493468759561,86.9969460962079,88581,227,389,1815,0.16350983527251506,1.1445688469076054,0.00305390379209313,1.0144542603911488,92,10,1
88,26307362216.70296,15121692239.151516,11185669977.551468,395,1774,7.993114669150454,7.767737216171403,7.969149112331559,8.993790129626067,8.613725129844934,8.32774314022694,6.726238924574256,7.3376379906560345,7.468531625029323,7.618775420260179,8.206471272319153,8.09480568041162,8.397390793068288,87.99441006979612,88536,213,395,1774,0.16849763417744945,1.1794834392421465,0.00558993020388243,1.0447982253150856,92,11,1
