time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,44807148794.09035,22474992028.835335,22332156765.255066,464,2216,77.99379841941379,88693,238,464,2216,0.12857142857142856,0.8999999999999999,0.00620158058620745,0.7987139999999999,5
79,30721433885.35663,18546629317.887608,12174804567.469015,449,2175,78.99663986366926,88648,226,449,2175,0.12857142857142856,0.8999999999999999,0.00336013633074117,0.798237,5
80,43448367617.41272,23534656110.716896,19913711506.69585,458,2101,79.99599702103536,88602,207,458,2101,0.13249344604252208,0.9274541222976548,0.00400297896463541,0.822169530334425,5
81,64236344399.0377,50616322085.61945,13620022313.418228,447,2061,80.98849169951895,88544,217,447,2061,0.13653510301062108,0.9557457210743476,0.01150830048105433,0.8468098237862934,5
82,42171531792.246574,21710386157.22571,20461145635.02084,433,2022,81.99858946808993,88500,206,433,2022,0.14070004902837266,0.9849003431986086,0.0014105319100679,0.872070159881776,5
83,45372034403.72061,25811770705.696198,19560263698.024464,409,1979,82.97831201669307,88450,213,409,1979,0.14499204497649593,1.0149443148354715,0.02168798330693278,0.8982257186293924,5
84,30214649852.009277,17730418597.180172,12484231254.8291,391,1936,83.99901914121989,88396,219,391,1936,0.14941496645979788,1.045904765218585,9.808587801103386e-4,0.9251027648358384,5
85,24175579356.24749,11760004673.001596,12415574683.245893,389,1892,84.99718251156722,88349,218,389,1892,0.1539728073067837,1.077809651147486,0.00281748843278251,0.9527406192283316,5
86,51086152745.381805,36037123787.07742,15049028958.30439,385,1839,85.99914019503927,88294,220,385,1839,0.15866968317602106,1.1106877822321477,8.598049607257963e-4,0.98128154872428,5
87,121612688254.99194,92041825389.02911,29570862865.962795,388,1772,86.99900127680107,88237,227,388,1772,0.16350983527251506,1.1445688469076054,9.987231989327938e-4,1.010585617688601,5
88,27720907620.644104,17207609284.936996,10513298335.707142,385,1723,87.9962914455152,88186,229,385,1723,0.16849763417744945,1.1794834392421465,0.00370855448480256,1.0407408022840927,5
89,125816091528.81877,119876320600.48236,5939770928.336422,403,1668,88.99671913858022,88125,236,403,1668,0.173637583794753,1.215463086563271,0.00328086141978189,1.071868277516686,5
90,17947895578.55386,11937346686.792538,6010548891.761348,422,1625,89.99580922809922,88058,243,422,1625,0.1789343254180534,1.252540277926374,0.00419077190078098,1.103801119922617,5
91,115669669050.15707,94440621618.92271,21229047431.23434,447,1578,90.9973516911702,87977,245,447,1578,0.1843926419216929,1.2907484934518505,0.00264830882980504,1.1366073083638306,5
92,230826531111.7238,220676871035.566,10149660076.15784,458,1553,91.99522565301534,87886,271,458,1553,0.1900174620795882,1.3301222345571175,0.00477434698466083,1.1702016382963154,5
