week,total_cases,total_E2I,num_days,new_week
0,68,430,7,1
1,79,415,7,2
2,121,541,7,3
3,187,820,7,4
4,244,1323,7,5
5,464,2502,7,6
6,872,4226,7,7
7,1321,6649,7,8
8,1844,9383,7,9
9,2449,11195,7,10
10,2070,11201,7,11
11,1803,9590,7,12
12,1453,6832,7,13
13,965,4533,7,14
14,596,2788,7,15
15,391,1727,7,16
16,181,1001,7,17
17,123,590,7,18
18,63,356,7,19
