time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,39540450046.14387,17570341352.011604,21970108694.13225,448,2209,77.99681355775391,89246,225,448,2209,0.12857142857142856,0.8999999999999999,0.00318644224608988,0.8036729999999999,19
79,37172169577.72216,17833156050.976784,19339013526.745327,428,2149,78.99420081274552,89198,236,428,2149,0.12857142857142856,0.8999999999999999,0.0057991872544818,0.803214,19
80,23362830682.501217,11835346320.704262,11527484361.79695,414,2071,79.9957914282512,89144,243,414,2071,0.13249344604252208,0.9274541222976548,0.00420857174880495,0.8272705280070619,19
81,37666577246.35679,22885321862.115627,14781255384.241137,422,2002,80.99529503478061,89094,233,422,2002,0.13653510301062108,0.9557457210743476,0.00470496521938912,0.8519899655945165,19
82,37754637103.173996,30367786677.82605,7386850425.347966,426,1941,81.99981705453959,89037,231,426,1941,0.14070004902837266,0.9849003431986086,1.8294546040920068e-4,0.8774871117693683,19
83,18413478705.44841,12070872376.146393,6342606329.302037,426,1903,82.99466614703836,88984,216,426,1903,0.14499204497649593,1.0149443148354715,0.00533385296164112,0.9036759696000588,19
84,37774717024.1543,14900060543.039164,22874656481.115128,425,1863,83.9889002372453,88922,216,425,1863,0.14941496645979788,1.045904765218585,0.01109976275469648,0.9306878962821058,19
85,41702781365.22214,34249839166.415176,7452942198.807023,428,1817,84.9985674571411,88856,233,428,1817,0.1539728073067837,1.077809651147486,0.00143254285889327,0.9584098979933676,19
86,22876493845.942375,15674445175.242865,7202048670.699527,427,1780,85.99339491789684,88808,230,427,1780,0.15866968317602106,1.1106877822321477,0.00660508210316379,0.986912735780197,19
87,43320751436.51754,34701216156.99314,8619535279.524277,418,1736,86.99400578606591,88746,236,418,1736,0.16350983527251506,1.1445688469076054,0.00599421393408761,1.0164687015617062,19
88,25026617993.14196,11100863845.961845,13925754147.180132,414,1701,87.99558214874975,88681,240,414,1701,0.16849763417744945,1.1794834392421465,0.00441785125025262,1.0467443729898351,19
89,45276307319.727615,11763883247.439297,33512424072.288277,408,1681,88.99926044378799,88605,257,408,1681,0.173637583794753,1.215463086563271,7.395562120109389e-4,1.0778848197951745,19
90,60108717035.07556,53958359319.98466,6150357715.090829,402,1656,89.99535294752042,88552,252,402,1656,0.1789343254180534,1.252540277926374,0.00464705247958363,1.1098133132566634,19
91,61766789683.57755,39688041180.27607,22078748503.301426,407,1632,90.99918758893334,88495,248,407,1632,0.1843926419216929,1.2907484934518505,8.124110666614115e-4,1.1429836059214826,19
92,30209481360.34947,14963123360.5799,15246357999.769596,418,1600,91.99571554838946,88434,247,418,1600,0.1900174620795882,1.3301222345571175,0.00428445161054469,1.177091671471321,19
93,46268397318.47505,38586374604.31849,7682022714.156561,439,1573,92.99490505832756,88346,259,439,1573,0.19581386501583592,1.3706970551108515,0.00509494167242507,1.2121622337167304,19
94,30614481031.793697,16134521840.749382,14479959191.044315,425,1556,93.9978381212286,88269,276,425,1556,0.2017870847910817,1.412509593537572,0.00216187877140328,1.2478957255067034,19
95,35890976892.30721,25079046277.19051,10811930615.116703,446,1522,94.99789607367283,88200,271,446,1522,0.2079425151287945,1.4555976059015616,0.00210392632716605,1.2848414507532493,19
96,35871177780.68496,20461140806.655743,15410036974.029222,434,1506,95.99455307197634,88110,309,434,1506,0.21428571428571427,1.5,0.00544692802365887,1.323,19
97,32118077328.30233,15558101964.112497,16559975364.189821,434,1497,96.99893475049136,88030,317,434,1497,0.22082241007087017,1.5457568704960911,0.00106524950862763,1.361966378594106,19
98,55202563171.50849,19694490095.34417,35508073076.164314,451,1482,97.99411407630828,87936,329,451,1482,0.22755850501770175,1.5929095351239124,0.00588592369172147,1.4022382637695805,19
99,50593636112.002785,29325456982.614845,21268179129.38791,459,1480,98.99112887231348,87846,341,459,1480,0.23450008171395448,1.6415005719976814,0.00887112768651832,1.4434699429918811,19
100,61792010979.45943,18882567513.879795,42909443465.57958,487,1444,99.9988621851963,87748,355,487,1444,0.24165340829415993,1.6915738580591195,0.00113781480369823,1.485979971350614,19
101,53264975254.51261,30940770641.476482,22324204613.036148,517,1437,100.99609295288322,87639,368,517,1437,0.2490249440996631,1.7431746086976418,0.00390704711678324,1.5296008556400067,19
102,37858590760.38281,23924977093.739113,13933613666.643738,547,1406,101.9956095801797,87516,391,547,1406,0.25662134551130616,1.796349418579143,0.00439041982029664,1.5743026669485751,19
