time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week,seed
78,25561721758.66772,13444897919.140434,12116823839.527288,385,1784,7.964361825637287,7.441166799247345,6.230890296838895,7.698303572608498,7.848794669190896,8.098483064267308,7.659478268990544,8.200934721405241,8.127979048477878,6.837259799215523,7.260523227904623,7.686049958336326,7.2947284043059595,1,TRUE,0,97
80,29981938924.87122,19176744775.087208,10805194149.784,395,1695,8.123861001474598,7.790406330036879,4.81361930386916,8.40659220436906,8.434322976820868,9.18082427030057,7.872336108168869,7.991103832667403,7.965080882572989,8.148238073892658,8.666369700158569,8.269937233544995,7.757472466312485,3,TRUE,0,97
82,42326273467.527626,13042442766.597929,29283830700.929752,382,1630,8.468673852345884,8.195348302638214,8.091187174705016,8.094781018577352,8.324938888549987,8.9694992952474,9.21862023458679,9.865186364554589,8.658603321217239,8.117708194772831,8.436282237193618,8.78275047802936,8.128283699527294,5,TRUE,0,97
84,21059113386.567455,9125139559.188543,11933973827.378883,353,1598,7.770599243362781,7.2227965143876425,8.304749416062574,6.428806148805245,6.855553502696066,9.398336034849917,9.302328079237505,7.568504921087963,7.232234619063513,6.798031247875845,7.676757705882135,8.19938065458877,7.606350707978712,7,TRUE,0,97
86,19402184839.94835,12134450502.28167,7267734337.666691,365,1535,7.688651517290364,7.479011691259838,8.298071622882224,7.671054787601304,8.496515089666428,7.541740866875202,7.751839412420268,6.924224739810639,6.851292507042542,7.6258968401038665,7.436904490857329,7.729752648909099,7.880042348827027,9,TRUE,1,97
88,28005095784.86981,20061627136.73331,7943468648.136498,370,1469,8.055652322879801,9.915381466314079,7.955986719511217,7.954329695500465,7.2979879548616315,6.867546874440866,7.920959269795476,7.849395965273904,7.920857932156316,6.7241120048601495,7.767868115995647,8.285162328448093,9.064920647749991,11,TRUE,1,97
90,51135275985.440605,17998833442.580826,33136442542.859768,386,1410,8.657740428382365,11.265231360927803,9.035295531979155,8.449443072217445,8.611654974788333,8.72476216698878,9.668121043068616,8.75409193006125,8.426022627676536,7.004086781455159,9.424075805932935,9.567775991990876,10.321391997626652,13,TRUE,1,97
92,142325271711.11536,123985396307.14713,18339875403.968216,403,1359,9.6813809208709,10.052782605284156,10.19104760524384,10.299299184235457,9.976641504521192,10.570796700250687,9.051258347946872,9.449720570705338,9.4567585956285,8.274866600303836,9.182390470971095,9.840386642586889,10.186100700416667,15,TRUE,2,97
94,44914766655.85088,36344593136.940926,8570173518.909987,417,1306,8.528032456375321,7.863377214385065,7.941284810257507,8.492591927835004,8.733840958390026,7.017462720234857,9.26465955006068,8.5665453394775,7.529097810281615,8.071827975213921,8.001751064237094,8.33030832136,8.14029138521224,17,TRUE,2,97
96,49321263212.596565,39346869623.324524,9974393589.272015,436,1270,8.621621127497619,8.38498914371875,8.885301437183456,8.240069765644366,8.641465341105603,8.103733708552552,8.178056590136771,8.711603192732358,8.883393373059052,7.587347130850794,8.78066354885146,8.510981970948922,8.543225258684865,19,TRUE,2,97
98,34057470330.020107,20640916349.60657,13416553980.413534,459,1261,8.251315238430951,8.518139528724154,8.350513589533548,7.774804309855959,8.088104824307988,8.755188424838297,8.342351738029935,9.066023754851495,7.319761583289607,8.101081229418991,8.883807486080546,8.435813111577115,8.261609549261946,21,TRUE,2,97
100,51287563123.93492,22895531804.02735,28392031319.907516,506,1249,8.660714125499918,10.357985036446527,8.911035503186977,8.690315389522578,8.23790107963186,8.161094912532784,8.680798382332435,8.243523960449295,8.866252611894678,9.016775882880767,7.8755452912512105,8.984721938498538,9.612823732467447,23,TRUE,3,97
102,44832483907.237755,21864297810.705437,22968186096.532295,547,1257,8.526198800833747,8.661399598779404,7.833334337622297,8.295442321526322,8.430244246509549,8.563629350388336,8.497183267849415,9.045976843656167,9.240642559257134,8.265633609330504,7.144432188566661,8.536479975223967,8.319109351809546,25,TRUE,3,97
104,75074816203.9007,33895276340.349056,41179539863.55168,602,1285,9.041751002646318,8.850507483874884,9.397554875507073,8.390084956491478,8.890149389142916,9.393888457938685,8.777118568933782,9.298854244719054,9.071639763532719,9.182865611899306,9.011647108139966,9.068273957547014,8.963586112758575,27,TRUE,3,97
106,51255116282.76312,32729727007.827816,18525389274.935295,665,1314,8.660081279889827,8.620832429968932,8.092074908451256,9.143305518996836,8.260356726148117,8.348681384723605,8.449973231775203,8.349893254231109,8.289640163524124,9.123205144091134,8.417012068121428,8.572327878341307,8.708699632458151,29,TRUE,4,97
108,105987846654.27907,86683995270.10646,19303851384.17262,713,1362,9.38659027028027,9.534484098791339,8.378459236407625,9.282848101043745,7.892272977300889,9.544023170333801,8.848235375824881,8.390119887915713,8.309452674192315,9.475650848020862,8.796017542488077,8.995215248915148,9.174117836067678,31,TRUE,4,97
110,81542771353.58864,55469012682.39422,26073758671.194393,805,1446,9.124393521417403,9.79686761932361,8.552509736888814,9.054503994173324,8.777819989240493,8.068837088708227,9.04360103230224,9.011495926083462,9.314222870343096,8.455195114046129,7.1722657393370985,8.924710461870015,9.265903565195089,33,TRUE,4,97
112,120056348724.13142,80839589313.77731,39216759410.3542,926,1560,9.511227042214792,6.893382237741001,9.590627123422221,9.595883117733832,9.240703192237133,9.273707327948255,13.586038938839723,9.10742939469011,8.63845468565112,9.36598684168795,9.499222770219538,11.391811551326475,9.220848007055734,35,TRUE,4,97
114,103569871635.34605,52145673488.38311,51424198146.96281,1131,1664,9.363512310146469,9.202302119542068,8.844908237120896,10.51508055540182,10.074648703652485,9.59504763120403,9.226778950397271,8.875817368626137,10.476147431736074,9.188687360688478,9.841916726620969,9.761493568339775,9.793044102191748,37,TRUE,5,97
116,195335363747.06952,141334654665.7542,54000709081.31595,1305,1811,9.997983732410862,9.533090998404736,10.070846092664473,10.167985234295681,8.692139372881174,9.66473475171277,9.551375143044119,9.818326432345735,8.342598148733135,9.71159574982417,10.318022236377592,9.732864941582584,9.960313571778013,39,TRUE,5,97
118,172074089217.61185,97394893540.23999,74679195677.37201,1537,2037,9.871190972278356,9.988739535801448,10.75519344414211,9.203388928853364,10.213394457540318,11.01244101670251,9.300829724510068,9.8874054733079,9.951998797687937,10.612206976263085,9.659083631991182,10.219707519422315,10.17330327120183,41,TRUE,5,97
120,206752785516.17313,124628915256.85883,82123870259.31459,1812,2290,10.054789643630908,10.957827507338704,7.758201540927706,9.537417270803754,10.628761898852373,9.937061823571492,9.702482544923068,10.24012260156077,10.16277367754782,7.000233618951802,10.667241124012888,10.126256109671601,10.107942560442318,43,TRUE,6,97
122,232589597365.73767,152279441645.29834,80310155720.43954,2092,2583,10.172541352753722,10.406164770940446,9.973177368546793,10.721096543649796,10.137550504633849,10.77164474165381,9.422580309695578,10.512037249369127,10.051327006182337,10.801189405088403,10.504756143474662,10.406099735095625,10.41239018187278,45,TRUE,6,97
124,256467429425.20523,154918313409.07034,101549116016.13597,2515,2928,10.270267512696073,10.162610023543007,10.043834949770062,11.301457670783776,10.738135125806938,11.74176238600011,10.427302391819051,10.077585611221599,8.815912676615039,10.63542456061268,10.041213615826717,10.670143359532963,10.67566811644645,47,TRUE,6,97
126,261106687651.4961,175545355308.72363,85561332342.77179,2910,3281,10.288194925695734,10.207741291223124,10.240747978381819,10.601359684678679,10.669696977030178,10.631258194197905,10.281076626229877,9.810671247718336,10.102877288028619,11.120552706108988,9.211123099137636,10.401633850136228,10.366422328569213,49,TRUE,6,97
128,412966243332.74347,284497357920.5021,128468885412.24127,3457,3767,10.746631691295129,11.891370643329182,11.04662639149797,10.603250672451232,9.593705056044378,10.659754158707898,11.44008216453576,10.48053453350535,11.001576555810438,10.727428411126946,3.0227160868896057,10.897564171199981,11.326590888711856,51,TRUE,7,97
130,520671411584.7186,325057508243.44806,195613903341.2697,3953,4410,10.978384991795277,10.912576333218295,11.792485621975244,10.34393121795792,11.191438192599549,10.65197415232488,9.983553840292133,10.862395607734863,9.649077099709126,10.505659127518154,10.983680760579077,10.854654626499514,11.194485072110504,53,TRUE,7,97
132,797298235957.0669,361436100162.24536,435862135794.82263,4543,5049,11.40449464393149,11.648816080068459,11.170125593186746,11.23696599388551,9.654105821537655,12.507301248427387,11.272587970726946,9.627053017983242,11.218310906136074,11.466887685302005,11.63239172165392,11.433649798365037,11.375263844130872,55,TRUE,7,97
134,612151712571.653,386773672402.36304,225378040169.29074,5271,5843,11.14024598509642,11.982017560413256,11.92922755653015,12.157651464147687,10.750146063412263,10.806116176642458,11.100477044968493,10.734803103576139,10.84528999403948,10.734782592654337,11.48210334006615,11.412337513377816,12.027813016646196,57,TRUE,8,97
136,663256687429.8685,459724929203.03015,203531758226.8408,5913,6762,11.220427912732681,11.15161504562743,11.252293901160005,11.293321063620972,11.265853586985443,10.849864079088167,12.071661082295051,10.19463645792531,11.407510029861047,12.162557182201336,10.827966203255608,11.396556779101205,11.23416515658985,59,TRUE,8,97
138,745111776573.4354,518922719508.1401,226189057065.2951,6613,7800,11.336800079740787,11.526541100322524,11.43475265991358,11.832348316285646,11.402300913444522,12.755972884582839,12.038754421170378,10.406900980231743,13.408091167343576,11.507263399260276,11.49527733198318,12.11885354815374,11.612724505728043,61,TRUE,8,97
140,892216167936.5354,569642392492.5621,322573775443.97327,7375,8827,11.516974280902673,9.694280583875269,11.552662185519628,11.298263566185176,11.057091211144394,10.7609274853536,12.550212721747677,11.458494915366295,11.559554395992485,12.247378002108075,12.90216656701994,11.851352495508698,11.11224709663276,63,TRUE,8,97
142,1007071437899.068,651947679893.5571,355123758005.5122,8080,10020,11.638067668458657,11.928930993471988,11.10549789196183,11.422243492734465,11.809273194639264,12.489931629327584,11.575794042033543,11.509224641186362,10.872495351785725,10.519698737388605,10.960378424503546,11.574031041532326,11.543959557458072,65,TRUE,9,97
144,1849860101369.8435,1221297194799.8162,628562906570.0249,8773,11279,12.246131131278212,11.455023897697256,11.58779025570683,12.024537334241025,11.683419271739012,9.904910056531097,12.524097192419005,11.636733953548926,12.299089333803243,12.053553372856113,11.823906736954191,11.865907898801648,11.719792970480423,67,TRUE,9,97
146,1283745738186.53,768680767531.6737,515064970654.85895,9369,12514,11.880803278367917,11.68379769514032,11.660272263054967,11.033555266373504,11.505722198611393,12.464462881104632,11.468386585032945,11.839173245098799,11.644630998928458,13.261831452173837,11.879978242578586,12.056500882171985,11.50094334314512,69,TRUE,9,97
148,1139116326055.664,636318933789.7573,502797392265.89954,10033,13709,11.761273925166094,12.177436071677551,12.458188671351145,11.855998621127135,11.689839701322832,11.943699246364087,10.572478894041813,10.865818354766047,12.453586280845185,10.878709315699526,11.785059564680335,11.847759016186808,12.193713524802762,71,TRUE,10,97
150,1107314172194.768,723055602764.8291,384258569429.9415,10530,15013,11.732958534444002,12.499388407973642,11.574425962876742,11.406915840153626,12.29937861384953,11.808310461612221,11.66407980051519,9.475944555000698,10.44241139039137,13.032728919837957,12.113373211626113,11.996246873532776,11.950013964238671,73,TRUE,10,97
152,1040654321513.635,590379425559.9664,450274895953.66595,10774,16410,11.670870786548178,11.582995975101728,11.834984809891536,11.260212329402476,11.246540556366648,11.290550397762132,13.09969666248821,9.302024229011938,11.37827917687408,11.46818357766512,11.67379415411512,11.75965611178157,11.586560341334412,75,TRUE,10,97
154,1580859079779.8386,901590401597.617,679268678182.216,11063,17530,12.088989536584158,11.83965212375141,11.959215848650954,10.705553014635349,12.60529572504537,12.21277087769941,11.95780197915599,11.93307575394219,12.775794512763857,12.24103205533787,11.91503622618942,12.132097764584147,11.636603999236609,77,TRUE,10,97
156,1196679270304.7576,710443274374.4739,486235995930.28253,11024,18662,11.81057156199326,11.604719413263481,11.759767293508107,11.618266066890762,12.411192643366048,10.179008893065273,11.700873772302447,11.490972601571057,11.546621978465078,11.524106521650921,11.14802587297732,11.62005920309755,11.663413606873924,79,TRUE,11,97
158,1372737743769.4797,683536758827.8047,689200984941.6719,10938,19736,11.947828214833507,11.596251689714572,12.056440253812568,11.704357088865136,11.990889115232415,11.480814786953754,11.53401813918148,11.635414089636914,11.734030273794799,11.922729588920024,12.211446660182752,11.814324791756334,11.805576976084561,81,TRUE,11,97
160,1055961638669.8722,623227101568.5559,432734537101.31555,10740,20577,11.68547297353561,11.495863914399548,12.03214165662341,11.919468857535405,11.491588888605987,12.11350380506447,11.758393528539372,11.97193298464663,11.111001964716166,12.310560168845083,10.74950009255096,11.789312329227151,11.841128186878013,83,TRUE,11,97
162,1453535830032.9314,661587232462.0132,791948597570.9215,10297,21240,12.005020207506963,12.589859158746455,12.382027423857718,12.769975271767581,12.235449149095746,11.406070959688446,12.072755658948392,12.385233888311536,9.866769526558063,11.977286744718754,13.775033963555014,12.518093202301538,12.593087308671139,85,TRUE,12,97
164,944794152494.528,547005721301.6529,397788431192.8759,10000,21688,11.574232912664062,11.428800448271266,11.193401151296579,11.950941364119458,13.398161880453605,9.709735131495233,11.456051263532695,12.74270707427281,11.604089247329348,11.075363682133132,11.456526940973855,12.043526616109325,11.576038095773061,87,TRUE,12,97
166,1035295416156.1595,533361242488.7964,501934173667.3587,9409,22010,11.665707928157396,11.798981615202521,12.160800419012478,10.974269966854976,12.031521714830733,11.45470899907823,11.487633531881288,11.554170579176468,11.368955962065941,11.774527434239804,12.013466877827677,11.718390330938083,11.756178530531255,89,TRUE,12,97
168,1085149051740.6152,662404590951.2887,422744460789.3226,8733,22239,11.712738468362051,11.761418303292647,11.110530358875486,12.780765025442019,11.900378106869717,13.036109078942133,12.444648211837038,12.261801168262345,11.3475528923491,12.019327826448105,11.68699038049736,12.201789774881295,12.11978391279249,91,TRUE,12,97
170,786124871123.7527,472551227058.6783,313573644065.085,8205,22105,11.390381485871444,10.685675452930788,11.37078479629201,10.930016914361273,10.369892235390093,11.301489272350539,11.456103903714794,11.702614128955197,11.216673233508912,12.434921655243746,9.625064842149282,11.356766068511218,11.03651282162052,93,TRUE,13,97
172,679156360846.5272,350516068461.05414,328640292385.47705,7575,21912,11.244117219064488,11.339148378872455,11.448868213943909,11.371041530167417,11.836152346597238,10.163262597396217,11.463588124354409,10.998489781059936,11.417218518585427,11.08132601876921,11.734506295071089,11.367091234624374,11.387421762022171,95,TRUE,13,97
174,701074839918.1912,391117453206.6593,309957386711.5333,6875,21597,11.275880479934582,11.78704079201035,10.880637931028211,11.196746832724696,11.429754594819519,11.313186950784756,11.509648721589217,11.798707926667857,10.868784923371836,11.089949119015277,10.862780418704014,11.331945258448211,11.360423100081283,97,TRUE,13,97
