time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,75830857163.9379,46555578041.35719,29275279122.580738,537,2256,77.99313308000522,88679,282,537,2256,0.12857142857142856,0.8999999999999999,0.00686691999477773,0.7985159999999999,41
79,67458210576.51708,25880756861.545937,41577453714.9712,540,2196,78.99936195146891,88603,293,540,2196,0.12857142857142856,0.8999999999999999,6.380485310870654e-4,0.7981109999999999,41
80,41063410764.971794,26354309808.816914,14709100956.154911,546,2154,79.99859552041215,88550,258,546,2154,0.13249344604252208,0.9274541222976548,0.00140447958784761,0.821752175979391,41
81,47662687597.69302,29969105395.52537,17693582202.167633,547,2095,80.99782223708446,88492,242,547,2095,0.13653510301062108,0.9557457210743476,0.00217776291553661,0.8463128360113349,41
82,31154484901.208275,17372327598.05485,13782157303.15339,522,2043,81.99617833281698,88426,254,522,2043,0.14070004902837266,0.9849003431986086,0.00382166718301846,0.8715580117033128,41
83,37361121932.57711,23825683968.660862,13535437963.916262,493,2005,82.99815951653159,88367,264,493,2005,0.14499204497649593,1.0149443148354715,0.00184048346841336,0.8974746598364141,41
84,29325772007.031487,15559179943.67953,13766592063.351976,491,1964,83.99975582749703,88300,263,491,1964,0.14941496645979788,1.045904765218585,2.4417250297403825e-4,0.9242346638807072,41
85,34546731775.99933,16276193743.891039,18270538032.10832,489,1924,84.9999666727267,88238,259,489,1924,0.1539728073067837,1.077809651147486,3.33272733001877e-5,0.95170592196323,41
86,34587660577.2873,20464526125.844616,14123134451.44266,481,1896,85.99889229571657,88180,250,481,1896,0.15866968317602106,1.1106877822321477,0.00110770428342732,0.9800486852860024,41
87,29036443252.7457,17217532248.497047,11818911004.248652,469,1858,86.9925409017079,88114,260,469,1858,0.16350983527251506,1.1445688469076054,0.00745909829210234,1.0092808092031265,41
88,103148521473.23773,18578221473.55715,84570299999.68056,485,1804,87.99756226679524,88035,263,485,1804,0.16849763417744945,1.1794834392421465,0.00243773320475781,1.0392900376538248,41
89,81868038663.82384,62908424117.17435,18959614546.649418,497,1762,88.99683863504325,87961,267,497,1762,0.173637583794753,1.215463086563271,0.00316136495675323,1.0700329282559755,41
90,64772525881.35179,29115722875.04038,35656803006.31144,478,1750,89.99862916294492,87877,286,478,1750,0.1789343254180534,1.252540277926374,0.00137083705507734,1.101746953866818,41
91,31369893009.954933,10045434086.968758,21324458922.986176,467,1756,90.999670091794,87791,304,467,1756,0.1843926419216929,1.2907484934518505,3.2990820599820836e-4,1.1342710535906828,41
92,35471578168.80955,24710349655.427265,10761228513.382267,472,1725,91.995673180229,87723,303,472,1725,0.1900174620795882,1.3301222345571175,0.00432681977099491,1.167727610940039,41
93,35236283912.61317,19921477807.80622,15314806104.806927,471,1700,92.99727901488112,87639,317,471,1700,0.19581386501583592,1.3706970551108515,0.00272098511887008,1.2024165776548923,41
94,29711507319.82324,11854360189.396374,17857147130.42684,485,1690,93.99781127600744,87570,291,485,1690,0.2017870847910817,1.412509593537572,0.00218872399256042,1.2379092826803928,41
95,86536234501.82281,44957785289.5302,41578449212.29268,502,1654,94.99745502456553,87484,294,502,1654,0.2079425151287945,1.4555976059015616,0.00254497543448906,1.2746668234879974,41
96,92115000364.36696,53468997214.310135,38646003150.05681,504,1637,95.99770861968928,87396,314,504,1637,0.21428571428571427,1.5,0.00229138031072295,1.31226,41
97,30535533548.594048,18732755797.020878,11802777751.573156,511,1620,96.99989841421797,87296,334,511,1620,0.22082241007087017,1.5457568704960911,1.01585782047664e-4,1.350929674538764,41
98,34042520081.344067,19599608999.792366,14442911081.5517,525,1590,97.99755078603296,87207,340,525,1590,0.22755850501770175,1.5929095351239124,0.00244921396705422,1.3905463077817706,41
99,30253856056.975204,16020030396.412441,14233825660.562746,526,1575,98.99990296388548,87104,353,526,1575,0.23450008171395448,1.6415005719976814,9.703611451072902e-5,1.431503403822018,41
100,65691363124.01537,43434364684.41287,22256998439.6025,552,1570,99.99942647240285,86992,368,552,1570,0.24165340829415993,1.6915738580591195,5.73527597168777e-4,1.473428493323815,41
101,36477962706.557846,21900595688.0671,14577367018.490807,562,1563,100.9989730243047,86877,396,562,1563,0.2490249440996631,1.7431746086976418,0.00102697569529652,1.5164224555982526,41
102,108460584625.0668,78074937143.53152,30385647481.535294,571,1579,101.9965509119625,86759,418,571,1579,0.25662134551130616,1.796349418579143,0.00344908803749888,1.5606144843790022,41
103,56054643863.828026,32995419846.585686,23059224017.24227,616,1567,102.99999367029396,86638,414,616,1567,0.26444947196003515,1.8511463037202465,6.329706053520567e-6,1.6060360216446483,41
104,2338087769310.9663,22692252760.198887,2315395516550.766,622,1588,103.99891606811592,86507,449,622,1588,0.27251639212085843,1.907614744846009,0.00108393188408228,1.6527192626396852,41
105,125388495526.8264,105123854442.92172,20264641083.90468,648,1594,104.99842064883092,86372,470,648,1594,0.28082939029574916,1.965805732070244,0.00157935116907026,1.7005595646420062,41
106,107083736259.37663,84517491215.17032,22566245044.20644,701,1574,105.9967295947076,86227,487,701,1574,0.289395972991255,2.0257718109387852,0.00327040529241173,1.7496996285440476,41
107,43173116728.774635,30422776507.548977,12750340221.225609,717,1592,106.99955161512842,86028,565,717,1592,0.2982238756967557,2.0875671298772898,4.4838487157505824e-4,1.8000465090792903,41
108,78629117276.52849,26751443544.773983,51877673731.75448,753,1605,107.9993128097261,85843,614,753,1605,0.30732106986948815,2.1512474890864173,6.871902738936342e-4,1.850675189911263,41
109,73187741218.82164,43201089541.233795,29986651677.587803,792,1631,108.99939544031815,85636,668,792,1631,0.316695770132647,2.2168703909285292,6.045596818466947e-4,1.9030280496847771,41
110,81667313692.63165,58166415008.75188,23500898683.8798,844,1648,109.99827351340149,85415,719,844,1648,0.32635644169305994,2.2844950918514195,0.00172648659851404,1.9563502168578817,41
111,73827180287.69473,41365816194.74221,32461364092.952557,916,1673,110.99865563438112,85172,763,916,1673,0.33631180798513616,2.3541826558959533,0.00134436561889117,2.0108251155335286,41
112,87066818987.2488,43567899143.53369,43498919843.71522,977,1707,111.9990361265148,84908,817,977,1707,0.3465708585479909,2.425996009835937,9.638734852046582e-4,2.066269321497464,41
