time,S,E,I,R1,beta_t,R0,integer_day,time_diff,Rt
0,99800,200,200,0,0.25,1.75,0,0,NA
0.9995693374025038,99741,203,222,33,0.25,1.75,1,4.3066259749624525e-4,1.7465
1.9971993619409603,99686,199,246,68,0.25,1.75,2,0.0028006380590397395,1.7454675
2.990240133367479,99619,202,272,104,0.25,1.75,3,0.009759866632521152,1.744505
3.9966642009191244,99555,212,286,140,0.25,1.75,4,0.0033357990808755567,1.7433325
4.998581739596117,99481,234,304,169,0.25,1.75,5,0.0014182604038825986,1.7422125
5.9922053319026425,99411,241,325,199,0.25,1.75,6,0.0077946680973575155,1.7409175
6.999301172830475,99337,262,334,234,0.25,1.75,7,6.988271695247406e-4,1.7396925
7.993523292682165,99234,291,357,268,0.25,1.75,8,0.0064767073178346735,1.7383975
8.995872151332689,99156,297,382,301,0.25,1.75,9,0.004127848667311085,1.7365950000000001
9.995059326893927,99058,313,411,330,0.25,1.75,10,0.00494067310607349,1.73523
10.990592479426244,98964,320,442,366,0.25,1.75,11,0.009407520573756045,1.733515
11.996311125316033,98870,327,458,423,0.25,1.75,12,0.003688874683966503,1.73187
12.98519593930888,98767,339,490,457,0.25,1.75,13,0.014804060691119503,1.730225
13.992216795128702,98643,352,530,505,0.25,1.75,14,0.007783204871298466,1.7284225
14.999081233864876,98526,376,541,560,0.25,1.75,15,9.187661351237608e-4,1.7262525
15.998952198939199,98414,373,560,623,0.25,1.75,16,0.0010478010608014898,1.724205
16.996446840170915,98287,416,556,669,0.25,1.75,17,0.0035531598290852173,1.722245
17.994890885855995,98152,445,594,697,0.25,1.75,18,0.005109114144005389,1.7200225
18.991894328985868,98024,453,640,730,0.25,1.75,19,0.008105671014131843,1.71766
19.99880694638717,97873,491,655,783,0.25,1.75,20,0.001193053612830397,1.71542
20.998790129110994,97718,524,671,842,0.25,1.75,21,0.0012098708890064813,1.7127775
21.9995954178183,97555,541,715,905,0.25,1.75,22,4.045821817015849e-4,1.710065
22.998421978340662,97357,604,745,964,0.25,1.75,23,0.001578021659337736,1.7072125
23.999228314956863,97179,634,770,1034,0.25,1.75,24,7.716850431371824e-4,1.7037475
24.999145439663224,96974,682,828,1075,0.25,1.75,25,8.545603367764443e-4,1.7006325
25.994844476724417,96796,695,876,1118,0.25,1.75,26,0.005155523275583107,1.697045
26.999355270200322,96584,736,919,1193,0.25,1.75,27,6.4472979967789e-4,1.69393
27.997885864856773,96328,773,1023,1232,0.25,1.75,28,0.002114135143227003,1.69022
28.99792074085353,96052,841,1087,1309,0.25,1.75,29,0.0020792591464697807,1.68574
29.999226062249242,95799,884,1133,1399,0.25,1.75,30,7.73937750757625e-4,1.68091
30.999618565155394,95525,941,1156,1511,0.25,1.75,31,3.814348446056215e-4,1.6764825
