time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,40204749204.63384,20783530687.10283,19421218517.53099,502,2082,8.417250965012226,8.951542273024643,8.67230879403879,9.11906292957422,10.363193800731985,8.251918869387453,9.124130969281227,7.338021350036466,8.32050070178574,6.918061982598084,7.958890855128616,8.94746422818682,8.930908520873631,77.9957855231317,89534,215,502,2082,0.12857142857142856,0.8999999999999999,0.00421447686829878,0.8062559999999999,79,1,0
79,31914099183.971203,20016388247.776955,11897710936.194275,508,2017,8.186313729781268,8.44950993057066,8.59524277825863,9.05383404323052,8.553794025061123,8.639995901181774,7.649313241585535,9.166171174940432,8.93198548434651,8.034207122052923,8.727483988970535,8.664956209470148,8.73391212725354,78.99609066167304,89485,201,508,2017,0.12857142857142856,0.8999999999999999,0.0039093383269630504,0.8058059999999999,79,2,0
80,55650017391.12245,28630528103.66207,27019489287.460438,495,1970,8.742348227176855,9.77417291711603,9.006875931040794,8.847048284358944,8.551997293377987,8.671695162395926,8.455386988624594,7.951127796235815,8.413142954977355,9.062294372975884,8.968977372719337,8.884938709744885,9.29611352548794,79.99521166492019,89439,195,495,1970,0.13249344604252208,0.9274541222976548,0.0047883350798088,0.8299323213380564,79,3,0
81,37955447270.10866,29134804569.01364,8820642701.095068,487,1909,8.359678868566725,7.122589188363328,8.147597232236643,8.904829123404875,8.27312097637571,8.67263998523159,9.019701635674688,8.835371184300477,7.6210376194417595,7.143689577338226,8.075047435215373,8.377418546555933,8.299218717245111,80.9991073503416,89384,197,487,1909,0.13653510301062108,0.9557457210743476,8.926496583967491e-4,0.8548094154716858,79,4,0
82,53854318515.68532,47154470542.99709,6699847972.68825,452,1878,8.709548432610688,10.610646742992586,8.68427930088775,8.392032840714457,9.762631532045223,9.691447217602276,8.597308750058586,7.210201221523221,8.703022678258625,9.35491564296277,8.54875450952406,9.340873176051893,9.738720661076853,81.9977054997514,89328,209,452,1878,0.14070004902837266,0.9849003431986086,0.00229450024859545,0.8803433227646444,79,5,0
83,27142440418.035686,17258898756.552902,9883541661.482807,441,1837,8.024364406913989,7.747385265115355,7.996274731549539,8.410648281741203,8.745465111729137,11.07546745825879,8.781745579782278,8.464006323831082,10.236135597307477,7.917996485797438,8.578482048637595,9.455953020876205,8.089488323661373,82.99946710256246,89271,204,441,1837,0.14499204497649593,1.0149443148354715,5.328974375373718e-4,0.90662945755623,79,6,0
84,28938160354.366734,13370263088.978758,15567897265.387962,428,1794,8.088426988553802,9.555452099616959,8.083390199136783,7.765095604256612,9.810311697832914,8.219602163000388,7.999342790208294,7.11071575592221,7.756068863393054,8.849359057221095,8.638790986818364,8.71289809084872,8.79070332630548,83.99875675196589,89231,198,428,1794,0.14941496645979788,1.045904765218585,0.00124324803411468,0.933689642958283,79,7,0
85,30949300012.768375,23731431106.73797,7217868906.0304,402,1773,8.155616219109408,8.228019024616282,7.845058229858548,8.69261585423258,7.894976710296856,7.903634600411604,8.158648133812274,7.604424934751689,6.729410937845437,8.246686745206171,7.339055885923839,7.984071190133689,8.31517853099807,84.9996214308657,89168,213,402,1773,0.1539728073067837,1.077809651147486,3.785691342983455e-4,0.9617403298154132,79,8,1
86,30034900728.939068,19575405606.554176,10459495122.38492,399,1720,8.125625900063753,6.323025659034869,7.951465847045269,7.596087159647639,8.443001717236932,7.57580881470962,9.728171232245614,8.438399874413106,7.873563105621965,7.727432388886493,8.645943854603798,8.38865465186748,7.4932028362627765,85.9970649494331,89097,229,399,1720,0.15866968317602106,1.1106877822321477,0.00293505056690435,0.9903780816607612,79,9,1
87,32230622682.930157,18373028299.35804,13857594383.572136,395,1677,8.196182852566345,8.429969051179084,8.385544235387142,8.35473173564553,8.663970848972452,7.695477874638373,9.709536994671922,8.11744648157971,7.141492502557213,8.612776720835342,8.571393304938043,8.576865443063788,8.390559551385032,86.992505352,89031,243,395,1677,0.16350983527251506,1.1445688469076054,0.0074946480000051,1.0197765055292691,79,10,1
88,72001946096.96866,39948212259.27603,32053733837.692684,396,1638,8.99995898472175,9.155101160346787,6.992848587116737,8.393902350527766,9.406445627215673,8.850399353021217,8.08207374148984,7.365235839036677,8.593545763281845,8.89093603630798,8.46119672910277,8.636245337901212,8.515287303364953,87.99789740233729,88987,224,396,1638,0.16849763417744945,1.1794834392421465,0.00210259766271292,1.050105900791675,79,11,1
89,33211570887.235508,25429877052.165718,7781693835.069789,415,1590,8.226164172849487,9.15743327130008,8.14882443433663,7.822082302332281,7.721161393127359,7.269450064818979,8.45148498155029,8.215989571002703,7.274656993901859,9.186045021496922,9.150003956333887,8.4790714772792,8.546045386674571,88.99750689068361,88922,217,415,1590,0.173637583794753,1.215463086563271,0.00249310931639001,1.081604136840058,79,12,1
90,24522814740.659294,12007574850.96716,12515239889.692108,403,1548,7.922869735090867,9.051554302921387,8.46665815105437,7.233388179445614,7.236123102226913,8.371143896863707,8.070250972707225,8.877381028522727,8.208391511585315,7.8742623308804065,7.716849639150268,8.27618406736115,8.494967933823883,89.99431740833816,88857,236,403,1548,0.1789343254180534,1.252540277926374,0.00568259166183793,1.1137838659376902,79,13,1
91,30288363695.275818,18880803620.377327,11407560074.898481,391,1550,8.134029439241303,7.838553052840174,8.294954119359305,9.552519498501908,8.449631684207393,6.189180831528359,7.434263127011219,11.034416613971207,8.064261208577825,8.882825514155284,8.765257949687582,9.270855896360576,8.835417872127074,90.99996757272704,88794,242,391,1550,0.1843926419216929,1.2907484934518505,3.242727296992598e-5,1.1469203888265107,79,14,1
92,31328850700.374966,24279483587.30389,7049367113.071093,398,1508,8.167805257559863,8.269269235599872,7.923996874731533,8.23522466939818,8.003619557803336,5.93396058924072,7.776891380971861,7.721254467641217,7.394757285826013,7.484963818475707,9.11771658813116,8.038198230215507,8.15444030131118,91.99226761440671,88730,254,398,1508,0.1900174620795882,1.3301222345571175,0.00773238559328604,1.181068736952647,79,15,2
93,24936323861.981445,13194986532.454767,11741337329.526674,392,1489,7.939591367054948,8.413187159473255,8.85977990437689,8.436538646541278,8.081646202857712,7.449645406612819,7.051611721522459,7.632602657950603,7.96993504045291,6.300029811310803,8.030171556986154,8.034114405338391,8.591780638603412,92.99377914825162,88651,274,392,1489,0.19581386501583592,1.3706970551108515,0.00622085174838105,1.2162194969998583,79,16,2
94,34963451495.204155,10546487545.434145,24416963949.770004,410,1434,8.277569109840083,9.191575201635532,9.121065704664383,8.281647455882041,7.462979739334491,8.367273655124235,7.577514873797614,7.913922087393582,6.745792150035108,7.787787369668385,8.291330566700767,8.31621245903505,8.94074873924242,93.9977504789217,88585,272,410,1434,0.2017870847910817,1.412509593537572,0.00224952107829778,1.252203879766993,79,17,2
95,32047856219.614994,24679869268.137638,7367986951.477354,420,1433,8.190496129452388,6.219311911222065,7.070028516325339,8.132873218409305,8.10919257849422,7.822067623426461,8.138124044339893,8.130087830524555,7.153744577831274,7.885349704534232,7.376079446367919,7.751686153256651,7.4350656028966755,94.99979140887925,88508,277,420,1433,0.2079425151287945,1.4555976059015616,2.0859112076720976e-4,1.2894411391878984,79,18,2
96,41614446696.91433,31426369611.00953,10188077085.904783,436,1418,8.451713220295282,8.74873151864704,7.905361594564153,8.576414963489258,8.273033406707237,8.648562262218737,8.645292547954515,7.996141597441553,7.571476530975651,7.683406543703939,9.094130599028464,8.425252958100515,8.470766888688667,95.99844761430838,88435,279,436,1418,0.21428571428571427,1.5,0.00155238569162463,1.32762,79,19,2
97,32509657328.570946,15527395053.652195,16982262274.918749,459,1375,8.204803030713624,8.365863773014514,7.634224938837272,7.982388833757255,8.362887794098013,8.937877217852206,7.816309572020911,7.390625361794192,9.176796855166906,8.882384582135558,6.602759358525406,8.364210576144753,8.038566858817559,96.99925036297036,88359,283,459,1375,0.22082241007087017,1.5457568704960911,7.496370296422583e-4,1.366990088423218,79,20,2
