time,S,E,I,R1,beta_t,R0,integer_day,time_diff,Rt
0,99800,200,200,0,0.25,1.75,0,0,NA
0.9866196718066931,99743,220,200,37,0.25,1.75,1,0.013380328193306923,1.7465
1.9930810135189931,99693,216,232,58,0.25,1.75,2,0.006918986481006861,1.7455025
2.996787589666282,99622,226,267,81,0.25,1.75,3,0.0032124103337181076,1.7446275
3.9960418548434973,99545,246,282,119,0.25,1.75,4,0.003958145156502724,1.743385
4.99841098562638,99455,265,304,155,0.25,1.75,5,0.0015890143736196904,1.7420375
5.994280235247658,99369,287,317,195,0.25,1.75,6,0.005719764752342371,1.7404625
6.99870750047251,99278,307,333,236,0.25,1.75,7,0.0012924995274898876,1.7389575
7.995369832668688,99207,308,361,265,0.25,1.75,8,0.004630167331312052,1.737365
8.999768971354344,99114,318,391,311,0.25,1.75,9,2.310286456559396e-4,1.7361225
9.99622088329821,99012,352,412,336,0.25,1.75,10,0.00377911670178932,1.734495
10.99631700861647,98924,358,436,374,0.25,1.75,11,0.0036829913835294548,1.73271
11.993903579910517,98812,383,464,417,0.25,1.75,12,0.006096420089482635,1.73117
12.996941617950265,98701,384,509,458,0.25,1.75,13,0.0030583820497351866,1.72921
13.994623240953924,98575,414,523,517,0.25,1.75,14,0.0053767590460758186,1.7272675
14.998074048016807,98452,444,548,553,0.25,1.75,15,0.0019259519831926752,1.7250625
15.995425860049604,98299,474,591,596,0.25,1.75,16,0.004574139950396017,1.72291
16.996963616735798,98173,478,631,635,0.25,1.75,17,0.0030363832642024136,1.7202325
17.999670222518276,98032,492,669,674,0.25,1.75,18,3.297774817241361e-4,1.7180275
18.998527291183457,97858,548,693,717,0.25,1.75,19,0.0014727088165429336,1.71556
19.99474567511401,97701,559,738,782,0.25,1.75,20,0.005254324885989092,1.712515
20.999026259643305,97509,603,768,865,0.25,1.75,21,9.737403566951741e-4,1.7097675
21.995662838231745,97312,628,806,955,0.25,1.75,22,0.004337161768255271,1.7064075
22.995877769057003,97096,699,823,1029,0.25,1.75,23,0.004122230942996907,1.70296
23.999590899919514,96894,732,882,1088,0.25,1.75,24,4.0910008048555824e-4,1.69918
24.999341875763985,96649,794,926,1176,0.25,1.75,25,6.581242360148565e-4,1.695645
25.997819587262107,96408,846,976,1233,0.25,1.75,26,0.002180412737892823,1.6913575
26.999741456646543,96140,911,1041,1295,0.25,1.75,27,2.5854335345698587e-4,1.68714
27.99974384552106,95885,953,1121,1348,0.25,1.75,28,2.561544789401182e-4,1.68245
28.99707311555004,95599,972,1221,1464,0.25,1.75,29,0.002926884449959033,1.6779875
29.997738265394013,95322,998,1298,1541,0.25,1.75,30,0.002261734605987442,1.6729825
30.999171351686968,95021,1042,1348,1655,0.25,1.75,31,8.286483130319766e-4,1.668135
31.99915704943236,94698,1111,1410,1742,0.25,1.75,32,8.429505676410542e-4,1.6628675
32.99728824228845,94364,1160,1487,1855,0.25,1.75,33,0.0027117577115518543,1.657215
33.999944801188995,93998,1238,1570,1960,0.25,1.75,34,5.519881100468638e-5,1.65137
34.999385032896605,93623,1328,1607,2106,0.25,1.75,35,6.149671033952586e-4,1.644965
35.99995081399752,93213,1412,1693,2224,0.25,1.75,36,4.918600247805216e-5,1.6384025
36.999199210037645,93043,1257,1774,2335,0.09999999999999999,0.7,37,8.007899623549974e-4,0.6524909999999999
37.99721790105674,92885,1131,1810,2454,0.09999999999999999,0.7,38,0.002782098943256983,0.651301
38.99998238936146,92702,1060,1777,2582,0.09999999999999999,0.7,39,1.7610638536780243e-5,0.650195
39.99960514453382,92518,977,1779,2709,0.09999999999999999,0.7,40,3.948554661832304e-4,0.648914
40.99942679778512,92357,910,1768,2758,0.09999999999999999,0.7,41,5.732022148805527e-4,0.647626
41.998400694777736,92197,843,1731,2873,0.09999999999999999,0.7,42,0.0015993052222640358,0.6464989999999999
42.99959130297032,92029,822,1671,2967,0.09999999999999999,0.7,43,4.0869702967682997e-4,0.6453789999999999
43.996135802684265,91884,780,1618,3045,0.09999999999999999,0.7,44,0.003864197315735396,0.644203
44.99963521300914,91735,734,1603,3099,0.09999999999999999,0.7,45,3.64786990857624e-4,0.643188
45.99937476297537,91607,690,1554,3141,0.09999999999999999,0.7,46,6.252370246286887e-4,0.642145
46.9984124530881,91465,644,1498,3210,0.09999999999999999,0.7,47,0.001587546911899551,0.641249
47.998491150423725,91326,622,1432,3254,0.09999999999999999,0.7,48,0.001508849576275395,0.6402549999999999
48.999108127402295,91185,599,1410,3264,0.09999999999999999,0.7,49,8.91872597705401e-4,0.639282
49.99802232117241,91038,620,1330,3297,0.09999999999999999,0.7,50,0.0019776788275933654,0.638295
50.999794053969666,90912,596,1292,3300,0.09999999999999999,0.7,51,2.0594603033430303e-4,0.637266
51.99843115352648,90780,587,1245,3323,0.09999999999999999,0.7,52,0.0015688464735177376,0.636384
52.99993608497764,90665,555,1222,3306,0.09999999999999999,0.7,53,6.391502235914004e-5,0.6354599999999999
53.99856495911363,90560,524,1183,3278,0.09999999999999999,0.7,54,0.0014350408863705866,0.634655
54.997964792857054,90448,512,1136,3265,0.09999999999999999,0.7,55,0.002035207142945694,0.6339199999999999
55.999528276290626,90356,498,1083,3240,0.09999999999999999,0.7,56,4.717237093743165e-4,0.633136
56.99912056529899,90260,459,1049,3214,0.09999999999999999,0.7,57,8.794347010123715e-4,0.6324919999999999
57.99972445354705,90156,462,1002,3163,0.09999999999999999,0.7,58,2.7554645294713964e-4,0.6318199999999999
58.99842103489112,90061,446,959,3149,0.09999999999999999,0.7,59,0.0015789651088766732,0.631092
59.998722495773094,89990,406,932,3106,0.09999999999999999,0.7,60,0.0012775042269055348,0.630427
60.99609584089116,89904,391,911,3045,0.09999999999999999,0.7,61,0.003904159108842009,0.6299299999999999
61.998585638258604,89838,364,872,2993,0.09999999999999999,0.7,62,0.0014143617413964193,0.629328
62.9902116875092,89763,340,858,2934,0.09999999999999999,0.7,63,0.009788312490798035,0.628866
63.99609065396915,89678,347,829,2853,0.09999999999999999,0.7,64,0.003909346030852134,0.628341
64.99708265563,89608,323,797,2837,0.09999999999999999,0.7,65,0.002917344370004571,0.627746
65.99689547544841,89531,320,770,2756,0.10195199498386377,0.7136639648870464,66,0.0031045245515883835,0.6395000056559845
66.99893243429196,89458,323,731,2719,0.10394209281189784,0.7275946496832849,67,0.0010675657080412293,0.6514227658079418
67.99926216425405,89398,306,688,2684,0.1059710372497091,0.7417972607479638,68,7.378357459515428e-4,0.6635969935199135
68.99807299795344,89325,291,678,2636,0.10803958658117185,0.756277106068203,69,0.001927002046556936,0.676096607282852
69.99971658316042,89268,275,657,2589,0.11014851389182348,0.7710395972427644,70,2.834168395793313e-4,0.6887311202370993
70.99543330795464,89215,265,631,2558,0.11229860735779236,0.7860902515045466,71,0.0045666920453584225,0.7017270457130786
71.99936789750817,89151,271,583,2528,0.11449067054036535,0.8014346937825575,72,6.321024918349849e-4,0.7149999620581087
72.99848290238891,89091,267,569,2469,0.11672552268630529,0.8170786588041371,73,0.0015170976110852052,0.7284337951104762
73.99665826956252,89037,265,548,2418,0.11900399903403074,0.8330279932382152,74,0.0033417304374836476,0.7421529694558583
74.98922795256156,88968,272,541,2377,0.12132695112577233,0.8492886578804063,75,0.010772047438436516,0.7561811423169773
75.99901600794838,88895,274,532,2322,0.12369524712582225,0.8658667298807557,76,9.839920516157008e-4,0.7703443122403109
76.9995525310943,88819,263,555,2239,0.1261097721449962,0.8827684050149733,77,4.4746890570479536e-4,0.7847369736380606
77.99990303140197,88771,246,540,2205,0.12857142857142856,0.8999999999999999,78,9.696859802943436e-5,0.7993709999999999
78.99565338827486,88711,241,526,2164,0.12857142857142856,0.8999999999999999,79,0.004346611725139837,0.798939
79.99844678873842,88656,239,508,2125,0.13249344604252208,0.9274541222976547,80,0.0015532112615801452,0.8227538264314724
80.99655679452533,88589,245,499,2091,0.13653510301062108,0.9557457210743476,81,0.0034432054746673657,0.8473259264756736
81.99760450860263,88515,257,487,2053,0.14070004902837266,0.9849003431986086,82,0.00239549139736539,0.8725133650362153
82.9926206734288,88446,263,471,2007,0.14499204497649593,1.0149443148354715,83,0.007379326571196998,0.8983779602766176
83.99569408281296,88391,265,451,1980,0.14941496645979788,1.045904765218585,84,0.004305917187039654,0.9250609286452297
84.99267909782981,88337,253,442,1934,0.1539728073067837,1.077809651147486,85,0.007320902170192767,0.9526867287457743
85.99696867644268,88276,259,443,1881,0.15866968317602106,1.1106877822321475,86,0.0030313235573231623,0.9811482661904121
86.99838037035,88215,261,438,1834,0.16350983527251506,1.1445688469076054,87,0.001619629649994181,1.0103795952961578
87.99797712754729,88136,267,460,1766,0.16849763417744945,1.1794834392421463,88,0.0020228724527129316,1.0404813159274593
88.99876773675184,88063,258,485,1715,0.173637583794753,1.215463086563271,89,0.0012322632481556184,1.0712605459734046
89.99997831695687,87997,264,473,1704,0.1789343254180534,1.252540277926374,90,2.1683043129883117e-5,1.1030245449503027
90.99015154666891,87917,282,471,1671,0.1843926419216929,1.2907484934518505,91,0.00984845333108808,1.135819951782825
91.99776123462654,87834,303,462,1658,0.1900174620795882,1.3301222345571175,92,0.00223876537346257,1.169403564955581
92.99669415375918,87752,305,482,1635,0.19581386501583592,1.3706970551108515,93,0.0033058462408206424,1.2039380513860654
93.9962719810933,87689,297,480,1614,0.2017870847910817,1.412509593537572,94,0.003728018906699049,1.23950541852109
94.9985743834987,87603,312,487,1597,0.2079425151287945,1.4555976059015616,95,0.0014256165012938027,1.2763989846390202
95.99806414846418,87494,339,500,1569,0.21428571428571427,1.5,96,0.0019358515358192108,1.314045
96.99996610658526,87385,366,501,1576,0.22082241007087014,1.5457568704960911,97,3.389341473791774e-5,1.35244451627185
97.9977317052146,87287,360,534,1556,0.22755850501770175,1.5929095351239124,98,0.002268294785395142,1.3919639972680309
98.99522757272705,87200,358,546,1545,0.23450008171395448,1.6415005719976814,99,0.004772427272953905,1.4328166042796162
