time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S.x,E.x,I.x,R1.x,beta_t.x,R0.x,time_diff.x,Rt.x,time.y.y,S.y,E.y,I.y,R1.y,beta_t.y,R0.y,time_diff.y,Rt.y
84,49233591168.82998,16361300548.18177,32872290620.648193,464,1801,83.9965768157295,89058,220,464,1801,0.14941496645979788,1.045904765218585,0.00342318427050258,0.9321939991440203,83.9965768157295,89058,220,464,1801,0.14941496645979788,1.045904765218585,0.00342318427050258,0.9321939991440203
84.5,109789254547.14406,53992456497.24359,55796798049.90046,455,1785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,54068568770.60842,32887899136.578953,21180669634.02942,458,1762,84.99709627761183,89014,212,458,1762,0.1539728073067837,1.077809651147486,0.00290372238816871,0.959875719118928,84.99709627761183,89014,212,458,1762,0.1539728073067837,1.077809651147486,0.00290372238816871,0.959875719118928
85.5,97390694604.81665,71124288456.13335,26266406148.683342,455,1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,30284580247.89113,14493199785.161247,15791380462.729885,445,1728,85.99688897588142,88962,212,445,1728,0.15866968317602106,1.1106877822321477,0.00311102411858144,0.9886676224761238,85.99688897588142,88962,212,445,1728,0.15866968317602106,1.1106877822321477,0.00311102411858144,0.9886676224761238
86.5,57847651115.32055,45647403773.697235,12200247341.623312,444,1718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,33832870870.634987,19437067432.105415,14395803438.529585,434,1715,86.99466245403029,88892,229,434,1715,0.16350983527251506,1.1445688469076054,0.00533754596970936,1.018231337585944,86.99466245403029,88892,229,434,1715,0.16350983527251506,1.1445688469076054,0.00533754596970936,1.018231337585944
87.5,89416549499.7199,69189736288.41858,20226813211.301273,425,1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,31137779858.279827,16082365214.067144,15055414644.212685,428,1680,87.99967422639492,88823,247,428,1680,0.16849763417744945,1.1794834392421465,3.257736050841231e-4,1.0484664188111288,87.99967422639492,88823,247,428,1680,0.16849763417744945,1.1794834392421465,3.257736050841231e-4,1.0484664188111288
88.5,273456087092.10153,264084210095.86975,9371876996.231754,430,1660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,31494528373.234715,21949759252.27237,9544769120.962358,439,1638,88.99834795982177,88744,261,439,1638,0.173637583794753,1.215463086563271,0.00165204017822873,1.0796107773780943,88.99834795982177,88744,261,439,1638,0.173637583794753,1.215463086563271,0.00165204017822873,1.0796107773780943
89.5,82603240253.50546,16068778021.679289,66534462231.826126,451,1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,29700298263.020004,17999978786.48997,11700319476.53006,452,1623,89.99428475312074,88668,268,452,1623,0.1789343254180534,1.252540277926374,0.00571524687926228,1.1115543442429814,89.99428475312074,88668,268,452,1623,0.1789343254180534,1.252540277926374,0.00571524687926228,1.1115543442429814
90.5,35909187785.49044,25023175802.2357,10886011983.254738,451,1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,112850024859.7169,79421973681.63553,33428051178.081337,457,1597,90.99690298676433,88586,277,457,1597,0.1843926419216929,1.2907484934518505,0.00309701323568845,1.1444808741738868,90.99690298676433,88586,277,457,1597,0.1843926419216929,1.2907484934518505,0.00309701323568845,1.1444808741738868
91.5,26705633796.894505,19845717803.86905,6859915993.025437,452,1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,46097344468.295334,32711724192.11605,13385620276.17932,453,1572,91.9982509759126,88493,303,453,1572,0.1900174620795882,1.3301222345571175,0.0017490240873883,1.178302082704768,91.9982509759126,88493,303,453,1572,0.1900174620795882,1.3301222345571175,0.0017490240873883,1.178302082704768
92.5,34514379057.96551,23455255194.101246,11059123863.864307,457,1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,54719554230.05708,25625929843.401566,29093624386.65552,466,1546,92.99805641224246,88409,311,466,1546,0.19581386501583592,1.3706970551108515,0.00194358775753755,1.2129709449792458,92.99805641224246,88409,311,466,1546,0.19581386501583592,1.3706970551108515,0.00194358775753755,1.2129709449792458
