time,total_count,total_count_I,total_count_R1,num_I,num_R1,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed
78,39831165552.912346,25844984308.91074,13986181244.001598,489,1990,77.98840368261446,90073,215,489,1990,0.12857142857142856,0.8999999999999999,0.01159631738553912,0.8111249999999999,95
79,39755266302.23584,29063054967.827793,10692211334.408049,476,1953,78.99901327026478,90016,208,476,1953,0.12857142857142856,0.8999999999999999,9.867297352172957e-4,0.810657,95
80,48177271703.606224,27032888761.77576,21144382941.830452,454,1903,79.9994526579069,89956,213,454,1903,0.13249344604252208,0.9274541222976548,5.473420930997008e-4,0.8348571027274568,95
81,34322784241.146698,15105623574.212633,19217160666.93407,437,1863,80.99643434485483,89914,205,437,1863,0.13653510301062108,0.9557457210743476,0.0035656551451666,0.8597506208496402,95
82,54335457355.83595,30517207519.372112,23818249836.463825,428,1832,81.99345987613529,89845,217,428,1832,0.14070004902837266,0.9849003431986086,0.00654012386470981,0.8855632945835971,95
83,29146479124.289043,18427317588.347095,10719161535.94193,418,1806,82.99645191080043,89791,221,418,1806,0.14499204497649593,1.0149443148354715,0.00354808919956894,0.9118767196639294,95
84,81689163746.27545,43876047248.415245,37813116497.860245,402,1749,83.99958541139256,89741,232,402,1749,0.14941496645979788,1.045904765218585,4.145886074411465e-4,0.9391283477374198,95
85,23467205000.349384,12135576425.866604,11331628574.482786,410,1727,84.99856787617354,89678,229,410,1727,0.1539728073067837,1.077809651147486,0.0014321238264614,0.9672371590362654,95
86,45147041397.1026,25270821634.058735,19876219763.04394,418,1682,85.99445165170283,89615,232,418,1682,0.15866968317602106,1.1106877822321477,0.0055483482971681,0.9960425893501452,95
87,39287999973.41016,13247029729.57438,26040970243.835712,412,1654,86.9983255218454,89565,225,412,1654,0.16350983527251506,1.1445688469076054,0.00167447815459809,1.0257053721562506,95
88,29260255487.00408,19382826095.397705,9877429391.606375,421,1618,87.99560370018621,89492,236,421,1618,0.16849763417744945,1.1794834392421465,0.00439629981379141,1.0564043423572282,95
89,41330881152.700584,19112571108.31795,22218310044.382664,427,1580,88.99957481043685,89437,234,427,1580,0.173637583794753,1.215463086563271,4.251895631455227e-4,1.0877422254272024,95
90,49354935228.15501,20076655362.63732,29278279865.517696,425,1571,89.99928624809004,89364,240,425,1571,0.1789343254180534,1.252540277926374,7.137519099558176e-4,1.120234448369011,95
91,35268049241.686134,24456362975.464203,10811686266.221924,409,1553,90.99519551879008,89291,258,409,1553,0.1843926419216929,1.2907484934518505,0.00480448120991638,1.1534644836883117,95
92,66540537715.75677,18458291006.18612,48082246709.57063,421,1523,91.99045272240272,89219,262,421,1523,0.1900174620795882,1.3301222345571175,0.00954727759729223,1.1876794444583958,95
93,196439470058.70398,184276896050.49527,12162574008.208616,432,1498,92.98727130846994,89140,271,432,1498,0.19581386501583592,1.3706970551108515,0.01272869153005729,1.2229222055993505,95
94,35701647588.28612,23251953416.787838,12449694171.498293,437,1479,93.99426061820186,89051,286,437,1479,0.2017870847910817,1.412509593537572,0.00573938179813637,1.2591110516793915,95
95,92528027483.54138,73530213765.25093,18997813718.290375,451,1451,94.99515168997348,88967,302,451,1451,0.2079425151287945,1.4555976059015616,0.00484831002653152,1.2962242240313997,95
96,63149032145.9467,48695337967.28875,14453694178.657932,439,1466,95.9972810697952,88885,320,439,1466,0.21428571428571427,1.5,0.00271893020479296,1.334505,95
