time,total_count,total_count_I,total_count_R1,num_I,num_R1,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,time.y,S,E,I,R1,beta_t,R0,time_diff,Rt,seed,new_time,week
78,56115272124.487526,25707289122.238914,30407983002.248592,483,2220,8.750673842810116,8.523905197209848,8.635275305479388,8.140606399836333,6.516017117105516,8.616886948982927,6.411473441800565,9.237541874832417,8.806031626052874,9.09880201828946,7.614347300178863,8.493350350409338,8.454704356350632,77.9994097881736,89040,231,483,2220,0.12857142857142856,0.8999999999999999,5.902118264060618e-4,0.801837,58,1,0
79,46410710087.55171,28731743449.554634,17678966637.997055,458,2177,8.560796090395993,9.491783231943481,8.709894725125732,8.514590076534116,8.154167488438977,6.769127084740516,7.546028392231303,8.972858861249984,8.248047555868471,8.01510155869568,8.067948853176192,8.486006990991381,8.999619685479157,78.99656209600462,88995,223,458,2177,0.12857142857142856,0.8999999999999999,0.00343790399537624,0.8013599999999999,58,2,0
80,25588186954.353012,9082028187.435757,16506158766.917269,442,2136,7.965396634836868,8.072196195204372,8.176978008311243,7.692954656175686,7.356105427481614,8.760008265620614,7.890976159983907,8.36164548892835,8.824522482731883,8.244885957396335,9.6716843429528,8.523509668535304,8.001361837237694,79.9999831497255,88943,219,442,2136,0.13249344604252208,0.9274541222976548,1.6850274505486595e-5,0.8253877961387978,58,3,0
81,26680299860.64062,15957390886.482141,10722908974.158491,434,2074,8.007191297085122,8.17608251521874,9.205040936448622,8.40969235133927,8.206436769637422,7.848134879966309,9.009856449426678,8.040201162607913,7.300570411009867,8.245359316899567,7.247957707481756,8.347607126191061,8.69909386706337,80.99989809212013,88900,214,434,2074,0.13653510301062108,0.9557457210743476,1.0190787986630312e-4,0.8500689166951569,58,4,0
82,29983306506.988064,14243786036.475723,15739520470.512373,421,2037,8.123906613965875,8.61449862482421,8.831760048226986,4.679173032340968,7.887343885654673,8.32870336443894,7.959236839657079,8.610897731624886,7.659318913978728,8.220662594192973,7.8097059644342215,8.186635557712364,8.33222777806775,81.99953885875614,88847,211,421,2037,0.14070004902837266,0.9849003431986086,4.6114124386065214e-4,0.875576405103563,58,5,0
83,17096773691.2019,8349151084.453075,8747622606.748823,397,2011,7.562155609624902,7.181785313260577,7.247335460733775,7.635403894746401,7.545819876076208,7.111251301877094,8.154702458072043,8.498839683741194,7.656181145926122,8.19481590654101,7.059917680630901,7.749203077746016,7.375635660732097,82.99986577865346,88794,213,397,2011,0.14499204497649593,1.0149443148354715,1.3422134654206275e-4,0.9017475754018714,58,6,0
84,22167924462.803883,12805536479.71285,9362387983.091055,396,1952,7.821912237013187,7.499616430596506,7.352942160443634,8.454542793960265,7.369419810650166,6.736101790121729,8.402583571982111,7.645515070139873,7.722093769211431,9.45053823049923,8.027555518697643,8.162807648786156,7.8966134423552266,83.99948179511354,88751,204,396,1952,0.14941496645979788,1.045904765218585,5.182048864611488e-4,0.9287006772281904,58,7,0
85,90002786597.43678,14653556848.989397,75349229748.44737,392,1906,9.223106468991098,9.029196060265079,8.972889403584638,9.11410771372893,8.805620819298353,9.838867135603026,9.402138129245236,7.96638693063503,9.602848256927404,9.810775654392087,10.305352728901292,9.462320344279213,9.040422840472091,84.99881138256825,88703,200,392,1906,0.1539728073067837,1.077809651147486,0.00118861743175102,0.9565668434899052,58,8,1
86,24365270206.408745,15009722698.993814,9355547507.414917,404,1835,7.916424603121236,7.7310406555395526,8.108730462301187,8.0219851478539,8.224398674101572,7.292891777402161,7.260271714578234,7.952524242382896,8.57245019000914,8.526827629969237,7.630579499191386,8.023137321505468,7.966534469652482,85.99355473350525,88634,203,404,1835,0.15866968317602106,1.1106877822321477,0.00644526649475096,0.9852133834733818,58,9,1
87,66332149533.80402,32073700122.799187,34258449411.004837,402,1805,8.917940526619489,8.724248991822273,8.396155857656186,8.326645282813184,7.641822544910463,8.977381648371809,8.608980232496194,9.926508862437514,7.685600262328698,9.06473640138346,8.9510055288987,8.842200497757219,8.497860258279239,86.99776511549815,88573,211,402,1805,0.16350983527251506,1.1445688469076054,0.00223488450184561,1.0144771517680868,58,10,1
