seed,time,week,true_rt,value,.lower,.upper,.width,.point,.interval
1,1,0,0.8053469999999999,1.0375472102896115,0.9499535312478072,1.127684951759464,0.5,median,qi
1,2,0,0.8048609999999999,1.0369184138103067,0.9493862934181624,1.1269383224755565,0.5,median,qi
1,3,0,0.828865749097414,1.0362852775280815,0.9488147030354146,1.1261810783929225,0.5,median,qi
1,4,0,0.8536147333203428,1.0356369199931823,0.9482398352593338,1.1254126451829882,0.5,median,qi
1,5,0,0.8790235563047583,1.0348771021031564,0.947662440303,1.1246328395153145,0.5,median,qi
1,6,0,0.9052186849586088,1.034068211953925,0.94708304414196,1.123841486330715,0.5,median,qi
1,7,0,0.9321939991440203,1.03327978307734,0.9465020180234288,1.1230384198350234,0.5,median,qi
1,8,1,0.959875719118928,1.2189778394003503,1.121433561617344,1.3274888769180424,0.5,median,qi
1,9,1,0.9886676224761238,1.217925812944702,1.120496738481944,1.3262927363624333,0.5,median,qi
1,10,1,1.018231337585944,1.2168628989586563,1.1195614699322824,1.3250765497598525,0.5,median,qi
1,11,1,1.0484664188111288,1.215783989757041,1.1186450029939083,1.3238344603940064,0.5,median,qi
1,12,1,1.0796107773780943,1.2146856274911095,1.1177208798842329,1.322562202448217,0.5,median,qi
1,13,1,1.1115543442429814,1.2135653975903555,1.116784759158019,1.3212377811873666,0.5,median,qi
1,14,1,1.1444808741738868,1.212484958570363,1.1158589175240112,1.3198719178498366,0.5,median,qi
1,15,2,1.178302082704768,1.485318143900728,1.378706809236434,1.6055337372545546,0.5,median,qi
1,16,2,1.2129709449792458,1.4837995685752068,1.3772481495360691,1.6036253041476585,0.5,median,qi
1,17,2,1.248785606550632,1.4820867105984774,1.3757535381218635,1.6015988253563842,0.5,median,qi
1,18,2,1.2855838055322593,1.48024708228358,1.3741677384167654,1.599504707121514,0.5,median,qi
1,19,2,1.323405,1.4783493411284434,1.3724842332965124,1.597331972278442,0.5,median,qi
1,20,2,1.36238373294914,1.4762736394470743,1.3706654197800203,1.5950716719960487,0.5,median,qi
1,21,2,1.4023497674370389,1.4741812235361742,1.3687800186601726,1.592508008867492,0.5,median,qi
1,22,3,1.4432729629232417,1.7587424689942823,1.6245404888349133,1.8930193332447935,0.5,median,qi
1,23,3,1.485201847375907,1.7561010905192935,1.6217036633832431,1.8904013066189616,0.5,median,qi
1,24,3,1.5282586111913097,1.753398347018515,1.6188622725437414,1.887703369010233,0.5,median,qi
1,25,3,1.5727578064485974,1.750561744456432,1.615885671945625,1.8841717398778604,0.5,median,qi
1,26,3,1.618161029934016,1.7471413644280895,1.612810338217419,1.8798933485988076,0.5,median,qi
1,27,3,1.6646990832373183,1.7435313909737564,1.6097199663991706,1.8757594758552725,0.5,median,qi
1,28,3,1.7124526893210312,1.7397697577256888,1.606472932639297,1.871582605368737,0.5,median,qi
1,29,4,1.7611452392758515,1.9733623512828025,1.8247651773890712,2.1218851870699993,0.5,median,qi
1,30,4,1.810755728455561,1.967811086689978,1.8191018971422408,2.115336355277699,0.5,median,qi
1,31,4,1.8613238649822408,1.9609245182017832,1.8136095476005745,2.1091836975161775,0.5,median,qi
1,32,4,1.9132699908908672,1.9545934362840791,1.808265468016382,2.102254182734291,0.5,median,qi
1,33,4,1.965556732078043,1.9478061128456483,1.802822745372369,2.0944766846024425,0.5,median,qi
1,34,4,2.018782252910457,1.939825457193319,1.7960632577481312,2.0865115493087014,0.5,median,qi
1,35,4,2.073814169088054,1.9317322592256876,1.7890363432755994,2.077223479829353,0.5,median,qi
1,36,5,2.129025,2.1815912131251993,2.029907561061606,2.364891972255738,0.5,median,qi
1,37,5,2.119225,2.169805494639977,2.019513112698835,2.3523808383779956,0.5,median,qi
1,38,5,2.10885,2.156490926475426,2.009064909675544,2.3390931224906555,0.5,median,qi
1,39,5,2.098425,2.1425044215644045,1.9964731116472043,2.325072721947675,0.5,median,qi
1,40,5,2.086925,2.1289049676510956,1.9842753015374484,2.309619448580474,0.5,median,qi
1,41,5,2.075,2.114106929011606,1.9711396416296747,2.2931327039303695,0.5,median,qi
1,42,5,2.06095,2.098811181911618,1.9577884776808976,2.273638438196209,0.5,median,qi
1,43,6,2.046675,2.341044376323352,2.1639123329385237,2.5655718989992726,0.5,median,qi
1,44,6,2.03085,2.317055523431672,2.1430888909889756,2.5386832991683823,0.5,median,qi
1,45,6,2.0138,2.291994760106684,2.1200148171728115,2.511453681259491,0.5,median,qi
1,46,6,1.99545,2.264509458410215,2.0950416442775763,2.4773975627444775,0.5,median,qi
1,47,6,1.97515,2.2361564098196443,2.0661647909563534,2.441235163983782,0.5,median,qi
1,48,6,1.954975,2.202958237060159,2.037775411765681,2.4024785148117136,0.5,median,qi
1,49,6,1.9332,2.1665990653023988,2.007769973015914,2.3609957310335856,0.5,median,qi
1,50,7,1.909675,2.228629801424107,2.042395511690808,2.435619970674715,0.5,median,qi
1,51,7,1.88545,2.185758112660836,2.005129952946351,2.3805734161670897,0.5,median,qi
1,52,7,1.858825,2.141711527423933,1.9644195862819915,2.326992546694661,0.5,median,qi
1,53,7,1.83045,2.0931488100450015,1.9232385302511672,2.2639277278390866,0.5,median,qi
1,54,7,1.8007,2.035962828302603,1.8779689434044016,2.2011837184870515,0.5,median,qi
1,55,7,1.7702,1.980622132671936,1.829040533686976,2.1380695606543445,0.5,median,qi
1,56,7,1.738475,1.9221418155913708,1.7810302913052711,2.0738099749526615,0.5,median,qi
1,57,8,1.70625,1.8846117152440736,1.7317885192631597,2.066664280359419,0.5,median,qi
