seed,week,time,true_rt,value,.lower,.upper,.width,.point,.interval
1,0,78,0.8053469999999999,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,79,0.8048609999999999,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,80,0.828865749097414,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,81,0.8536147333203428,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,82,0.8790235563047583,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,83,0.9052186849586088,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,0,84,0.9321939991440203,0.8529410307680918,0.802496742947965,0.8992296354853407,0.5,median,qi
1,1,85,0.959875719118928,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,86,0.9886676224761238,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,87,1.018231337585944,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,88,1.0484664188111288,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,89,1.0796107773780943,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,90,1.1115543442429814,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,1,91,1.1444808741738868,0.9920562360932544,0.9359169466573742,1.0601855096791353,0.5,median,qi
1,2,92,1.178302082704768,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,93,1.2129709449792458,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,94,1.248785606550632,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,95,1.2855838055322593,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,96,1.323405,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,97,1.36238373294914,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,2,98,1.4023497674370389,1.2315656369455508,1.1571207426276389,1.3122551249785723,0.5,median,qi
1,3,99,1.4432729629232417,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,100,1.485201847375907,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,101,1.5282586111913097,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,102,1.5727578064485974,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,103,1.618161029934016,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,104,1.6646990832373183,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,3,105,1.7124526893210312,1.547665110860832,1.4572917181407152,1.6350761138719283,0.5,median,qi
1,4,106,1.7611452392758515,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,107,1.810755728455561,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,108,1.8613238649822408,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,109,1.9132699908908672,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,110,1.965556732078043,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,111,2.018782252910457,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,4,112,2.073814169088054,1.8338710749203757,1.7309317560880455,1.9539383061655509,0.5,median,qi
1,5,113,2.129025,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,114,2.119225,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,115,2.10885,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,116,2.098425,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,117,2.086925,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,118,2.075,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,5,119,2.06095,1.9599204706874016,1.8615721811173185,2.0753892939159493,0.5,median,qi
1,6,120,2.046675,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,121,2.03085,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,122,2.0138,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,123,1.99545,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,124,1.97515,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,125,1.954975,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,6,126,1.9332,1.8220672268883868,1.7214532434953254,1.932700733756621,0.5,median,qi
1,7,127,1.909675,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,128,1.88545,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,129,1.858825,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,130,1.83045,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,131,1.8007,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,132,1.7702,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
1,7,133,1.738475,1.6987527852215702,1.6087925390634066,1.7980851697849831,0.5,median,qi
