seed,min_rhat,max_rhat,min_ess_bulk,max_ess_bulk,min_ess_tail,max_ess_tail
1,0.9970084697561368,1.012801659690428,1085.5734481446034,2352.088668525263,551.9965384762585,1034.469478203005
10,0.9980971608250608,1.0125849853019884,945.165305486728,1917.5747304305175,429.228964952245,1076.6777458815952
100,0.998678586760822,1.0187006596577797,964.4484335705304,1903.5668837806204,534.2185262256347,1035.3417336165912
11,0.997556327054202,1.0255010720082098,1060.2209509357897,2009.259643650572,557.9988365529903,1037.966335368495
12,0.9973960656272818,1.0153795528798086,1012.7850196409664,1810.148949126164,472.4679700874877,1066.7647843209395
13,0.9973960808718226,1.009528841961306,849.8490700807747,1580.1388092929767,603.7506192769987,1049.725839390098
14,0.9975844410875322,1.01647487978563,964.1361358444764,1644.5290048550612,359.6132446923638,1033.0989497538449
15,0.9972208381219896,1.0186035170906276,890.2838685672443,1533.057907727843,486.3800563491416,1025.3636813180144
16,0.997265928415008,1.0234322531375328,1077.7144012220865,2220.7575422090076,530.8376343705394,1101.588287629045
17,0.9983234531147837,1.010500194548928,992.60174934733,2031.2500720090093,490.5041013204115,1033.8054618329818
18,0.9970940351622058,1.014854070650625,770.911363758824,2004.388268114022,526.5034668083658,1015.9794415201532
19,0.9977368219206963,1.0163379894029074,927.6901040593076,1899.2560117572975,525.3114342522667,1057.0319947212763
2,0.9979969022976096,1.0144924778034488,961.0203364765388,2195.8443671765413,538.0074708195954,1086.1929250036676
20,0.9974115524817884,1.0147478611221206,965.5842405064476,1692.9157154196716,384.08974934288545,1073.0275513977392
21,0.9968980825490468,1.0120875704324612,863.2077671139339,1969.8774497761333,569.0572303335009,1068.0746556551544
22,0.9973342334381416,1.0153069293422246,837.4735772555996,1569.9228295009864,496.5585336928909,1035.5850444980742
23,0.997443558175578,1.023685706528029,941.8003908679872,1836.9522128265764,482.09585075481255,1076.6697184137445
24,0.997272002807279,1.013498293923782,901.3316720094822,1853.9261726722616,539.1192156536317,1068.1954136040752
25,0.9968557078775684,1.0119721547688318,815.332636208497,2193.9892593568175,544.0240202029573,1037.1034399104458
26,0.9980132315790634,1.0117539163890736,844.6432135120918,1666.7730985930257,452.369447431026,1020.7296205756868
27,0.997996622472408,1.0120839707982818,903.8965956277036,2688.4262841313625,520.9269979949802,1032.0807205923634
28,0.9971597917796026,1.012208818294264,994.0498596192922,2247.369283245914,462.134894185074,1076.020953266375
29,0.9976082673577028,1.020195136595889,1019.759929047847,1845.388177072213,495.1528762627439,1046.825086012443
